[ 2570.871885] google_charger: usbchg=USB typec=C usbv=4871 usbc=488 usbMv=5000 usbMc=500
[ 2580.208410] before: swapin tgid 25409 pid 25426 name "Binder:25409_1" vma 7f289fc000
[ 2580.208429] before: swapin tgid 25409 pid 25426 name "Binder:25409_1" vma 7f28969000
[ 2580.208703] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 71259000
[ 2580.208712] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70859000
[ 2580.208745] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70a0d000
[ 2580.208756] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 70a06000
[ 2580.208765] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 726d9000
[ 2580.208767] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7272b000
[ 2580.208776] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 726d2000
[ 2580.208782] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7125b000
[ 2580.208815] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbc8a5000
[ 2580.208823] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbc8a3000
[ 2580.208834] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbc8a2000
[ 2580.208838] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbc85f000
[ 2580.208840] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 726c8000
[ 2580.208862] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe243000
[ 2580.208868] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe172000
[ 2580.208930] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbc8a8000
[ 2580.208971] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbc8a4000
[ 2580.209031] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 726cf000
[ 2580.209051] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 12c00000
[ 2580.209137] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 70a08000
[ 2580.209145] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 709ee000
[ 2580.209152] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 70a17000
[ 2580.209162] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 709ef000
[ 2580.209206] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 7f28a4e000
[ 2580.209337] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 7fb9db6000
[ 2580.209388] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 70ad3000
[ 2580.209406] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 70ad4000
[ 2580.209447] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 70a88000
[ 2580.209479] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 7fbe175000
[ 2580.209531] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 7126a000
[ 2580.210208] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 726c1000
[ 2580.210224] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 7125d000
[ 2580.210298] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 7125a000
[ 2580.210316] before: swapin tgid 25409 pid 25409 name "re-initialized>" vma 71258000
[ 2580.212832] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 7f28b53000
[ 2580.212901] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 7fbe17a000
[ 2580.212986] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 7f2d628000
[ 2580.213325] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 7126e000
[ 2580.213422] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 70626000
[ 2580.213447] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 726d3000
[ 2580.213452] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c9000
[ 2580.213467] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 7279d000
[ 2580.213478] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c8000
[ 2580.213492] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727c5000
[ 2580.213506] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 7279e000
[ 2580.213516] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727cb000
[ 2580.213531] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 7279f000
[ 2580.213546] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a0000
[ 2580.213561] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a1000
[ 2580.213578] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a2000
[ 2580.213597] before: swapin tgid 25409 pid 25427 name "Binder:25409_2" vma 727a3000
