[ 1863.104573] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 729c2000
[ 1863.104578] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 729c6000
[ 1863.104583] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 729cb000
[ 1863.104585] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 729cc000
[ 1863.104657] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 70d03000
[ 1863.104668] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fba77c000
[ 1863.104858] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 70d2c000
[ 1863.104867] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7f28b3a000
[ 1863.104876] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 70ce7000
[ 1863.104896] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7154c000
[ 1863.104911] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7f28b52000
[ 1863.104916] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fbe348000
[ 1863.104923] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7f35054000
[ 1863.104947] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7154d000
[ 1863.105011] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7154e000
[ 1863.105401] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 71547000
[ 1863.105444] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 70b47000
[ 1863.105497] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 70cfb000
[ 1863.105510] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 70cf4000
[ 1863.105520] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 729c7000
[ 1863.105522] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 72a19000
[ 1863.105530] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 729c0000
[ 1863.105535] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 71549000
[ 1863.105540] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fbc6fc000
[ 1863.105630] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fbc72a000
[ 1863.105671] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fbc728000
[ 1863.105683] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fbc727000
[ 1863.105687] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fbc6fe000
[ 1863.105689] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 729b6000
[ 1863.105710] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fbe243000
[ 1863.105719] before: swapin tgid 16360 pid 16360 name "stagram.android" vma 7fbe172000
