UID            PID  PPID C STIME TTY          TIME CMD
root            53     2 0 13:27:49 ?     00:00:00 [kworker/5:0H]
root            54     2 0 13:27:49 ?     00:00:00 [rcuop/5]
root            55     2 0 13:27:49 ?     00:00:00 [rcuos/5]
root            56     2 0 13:27:49 ?     00:00:00 [rcuob/5]
root            57     2 0 13:27:49 ?     00:00:00 [cpuhp/6]
root            58     2 0 13:27:49 ?     00:00:00 [migration/6]
root            59     2 0 13:27:49 ?     00:00:00 [ksoftirqd/6]
root            60     2 0 13:27:49 ?     00:00:00 [kworker/6:0]
root            61     2 0 13:27:49 ?     00:00:00 [kworker/6:0H]
root            62     2 0 13:27:49 ?     00:00:00 [rcuop/6]
root            63     2 0 13:27:49 ?     00:00:00 [rcuos/6]
root            64     2 0 13:27:49 ?     00:00:00 [rcuob/6]
root            65     2 0 13:27:49 ?     00:00:00 [cpuhp/7]
root            66     2 0 13:27:49 ?     00:00:00 [migration/7]
root            67     2 0 13:27:49 ?     00:00:00 [ksoftirqd/7]
root            68     2 0 13:27:49 ?     00:00:00 [kworker/7:0]
root            69     2 0 13:27:49 ?     00:00:00 [kworker/7:0H]
root            70     2 0 13:27:49 ?     00:00:00 [rcuop/7]
root            71     2 0 13:27:49 ?     00:00:00 [rcuos/7]
root            72     2 0 13:27:49 ?     00:00:00 [rcuob/7]
root            73     2 0 13:27:49 ?     00:00:00 [netns]
root            74     2 0 13:27:49 ?     00:00:00 [ksuspend_mon]
root            75     2 0 13:27:49 ?     00:00:00 [kworker/0:1]
root            76     2 0 13:27:49 ?     00:00:00 [kworker/u17:0]
root            77     2 1 13:27:49 ?     00:00:00 [kworker/u16:1]
root            78     2 0 13:27:49 ?     00:00:00 [ipa_usb_wq]
root            79     2 0 13:27:49 ?     00:00:00 [kworker/7:1]
root            80     2 0 13:27:49 ?     00:00:00 [msm_watchdog]
root            81     2 0 13:27:49 ?     00:00:00 [spi_wdsp]
root            82     2 0 13:27:49 ?     00:00:00 [qmp_aop]
root            83     2 0 13:27:49 ?     00:00:00 [qmp_npu_qmp_low]
root            84     2 0 13:27:49 ?     00:00:00 [qmp_npu_qmp_hig]
root            85     2 1 13:27:49 ?     00:00:00 [kworker/6:1]
root            86     2 0 13:27:49 ?     00:00:00 [kworker/5:1]
root            87     2 0 13:27:49 ?     00:00:00 [kworker/4:1]
root            88     2 0 13:27:49 ?     00:00:00 [kworker/1:1]
root            89     2 0 13:27:49 ?     00:00:00 [kworker/2:1]
root            90     2 0 13:27:49 ?     00:00:00 [kworker/3:1]
root            91     2 0 13:27:49 ?     00:00:00 [oom_reaper]
root            92     2 0 13:27:49 ?     00:00:00 [writeback]
root            93     2 0 13:27:49 ?     00:00:00 [kcompactd0]
root            94     2 0 13:27:49 ?     00:00:00 [crypto]
root            95     2 0 13:27:49 ?     00:00:00 [kblockd]
root            96     2 0 13:27:49 ?     00:00:00 [irq/407-arm-smm]
root            97     2 0 13:27:49 ?     00:00:00 [irq/511-arm-smm]
root            98     2 0 13:27:49 ?     00:00:00 [irq/116-tsens-u]
root            99     2 0 13:27:49 ?     00:00:00 [irq/117-tsens-c]
root           100     2 0 13:27:49 ?     00:00:00 [irq/118-tsens-u]
root           101     2 0 13:27:49 ?     00:00:00 [irq/119-tsens-c]
root           102     2 0 13:27:49 ?     00:00:00 [edac-poller]
root           103     2 0 13:27:49 ?     00:00:00 [system]
root           104     2 0 13:27:49 ?     00:00:00 [ipa_power_mgmt]
root           105     2 0 13:27:49 ?     00:00:00 [transport_power]
root           106     2 0 13:27:49 ?     00:00:00 [ipa_pm_activate]
root           107     2 0 13:27:49 ?     00:00:00 [devfreq_wq]
root           108     2 0 13:27:49 ?     00:00:00 [cfg80211]
root           109     2 0 13:27:49 ?     00:00:00 [kworker/6:2]
root           146     2 0 13:27:49 ?     00:00:00 [kauditd]
root           147     2 0 13:27:49 ?     00:00:00 [kswapd0]
root           148     2 0 13:27:49 ?     00:00:00 [ecryptfs-kthrea]
root           201     2 0 13:27:49 ?     00:00:00 [irq/411-arm-smm]
root           202     2 0 13:27:49 ?     00:00:00 [irq/412-arm-smm]
root           203     2 0 13:27:49 ?     00:00:00 [irq/413-arm-smm]
root           204     2 0 13:27:49 ?     00:00:00 [irq/402-smp2p]
root           205     2 0 13:27:49 ?     00:00:00 [irq/403-smp2p]
root           206     2 0 13:27:49 ?     00:00:00 [irq/404-smp2p]
root           207     2 0 13:27:49 ?     00:00:00 [irq/405-smp2p]
root           208     2 0 13:27:49 ?     00:00:00 [cdsprm-wq]
root           209     2 0 13:27:49 ?     00:00:00 [cdsprm-wq-delay]
root           210     2 0 13:27:49 ?     00:00:00 [irq/415-arm-smm]
root           211     2 0 13:27:49 ?     00:00:00 [irq/416-arm-smm]
root           212     2 0 13:27:49 ?     00:00:00 [hwrng]
root           213     2 0 13:27:49 ?     00:00:00 [irq/414-arm-smm]
root           215     2 0 13:27:49 ?     00:00:00 [diag_real_time_]
root           216     2 0 13:27:49 ?     00:00:00 [diag_wq]
root           218     2 0 13:27:49 ?     00:00:00 [DIAG_USB_diag]
root           219     2 0 13:27:49 ?     00:00:00 [diag_cntl_wq]
root           220     2 0 13:27:49 ?     00:00:00 [diag_dci_wq]
root           221     2 0 13:27:49 ?     00:00:00 [MODEM_CNTL]
root           222     2 0 13:27:49 ?     00:00:00 [MODEM_DATA]
root           223     2 0 13:27:49 ?     00:00:00 [MODEM_CMD]
root           224     2 0 13:27:49 ?     00:00:00 [MODEM_DCI]
root           225     2 0 13:27:49 ?     00:00:00 [MODEM_DCI_CMD]
root           226     2 0 13:27:49 ?     00:00:00 [LPASS_CNTL]
root           227     2 0 13:27:49 ?     00:00:00 [LPASS_DATA]
root           228     2 0 13:27:49 ?     00:00:00 [LPASS_CMD]
root           229     2 0 13:27:49 ?     00:00:00 [LPASS_DCI]
root           230     2 0 13:27:49 ?     00:00:00 [LPASS_DCI_CMD]
root           231     2 0 13:27:49 ?     00:00:00 [WCNSS_CNTL]
root           232     2 0 13:27:49 ?     00:00:00 [WCNSS_DATA]
root           233     2 0 13:27:49 ?     00:00:00 [WCNSS_CMD]
root           234     2 0 13:27:49 ?     00:00:00 [WCNSS_DCI]
root           235     2 0 13:27:49 ?     00:00:00 [WCNSS_DCI_CMD]
root           236     2 0 13:27:49 ?     00:00:00 [SENSORS_CNTL]
root           237     2 0 13:27:49 ?     00:00:00 [SENSORS_DATA]
root           238     2 0 13:27:49 ?     00:00:00 [SENSORS_CMD]
root           239     2 0 13:27:49 ?     00:00:00 [SENSORS_DCI]
root           240     2 0 13:27:49 ?     00:00:00 [SENSORS_DCI_CMD]
root           241     2 0 13:27:49 ?     00:00:00 [DIAG_CTRL]
root           242     2 0 13:27:49 ?     00:00:00 [DIAG_DATA]
root           243     2 0 13:27:49 ?     00:00:00 [DIAG_CMD]
root           244     2 0 13:27:49 ?     00:00:00 [DIAG_DCI_DATA]
root           245     2 0 13:27:49 ?     00:00:00 [DIAG_DCI_CMD]
root           246     2 0 13:27:49 ?     00:00:00 [CDSP_CNTL]
root           247     2 0 13:27:49 ?     00:00:00 [CDSP_DATA]
root           248     2 0 13:27:49 ?     00:00:00 [CDSP_CMD]
root           249     2 0 13:27:49 ?     00:00:00 [CDSP_DCI]
root           250     2 0 13:27:49 ?     00:00:00 [CDSP_DCI_CMD]
root           251     2 0 13:27:49 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           252     2 0 13:27:49 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           253     2 0 13:27:49 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           254     2 0 13:27:49 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           255     2 0 13:27:49 ?     00:00:00 [DIAG_RPMSG_DIAG]
root           256     2 0 13:27:49 ?     00:00:00 [kworker/u16:2]
root           257     2 0 13:27:49 ?     00:00:00 [kworker/u16:3]
root           258     2 0 13:27:49 ?     00:00:00 [diag_mhi_MDM]
root           260     2 0 13:27:49 ?     00:00:00 [kworker/u16:4]
root           261     2 0 13:27:49 ?     00:00:00 [kworker/u16:5]
root           262     2 0 13:27:49 ?     00:00:00 [kworker/u16:6]
root           263     2 0 13:27:49 ?     00:00:00 [DIAG_USB_diag_m]
root           264     2 0 13:27:49 ?     00:00:00 [diag_mhi_MDM_DC]
root           265     2 0 13:27:49 ?     00:00:00 [diag_dci_MDM_DC]
root           266     2 0 13:27:49 ?     00:00:00 [kworker/u16:7]
root           267     2 0 13:27:49 ?     00:00:00 [kgsl-workqueue]
root           268     2 0 13:27:49 ?     00:00:00 [kgsl-mementry]
root           269     2 0 13:27:49 ?     00:00:00 [panel]
root           270     2 0 13:27:49 ?     00:00:00 [kgsl_worker_thr]
root           271     2 0 13:27:49 ?     00:00:00 [kgsl_low_prio_w]
root           272     2 1 13:27:49 ?     00:00:00 [kworker/u16:8]
root           273     2 0 13:27:49 ?     00:00:00 [irq/512-arm-smm]
root           274     2 0 13:27:49 ?     00:00:00 [irq/410-arm-smm]
root           275     2 0 13:27:49 ?     00:00:00 [irq/513-arm-smm]
root           276     2 0 13:27:49 ?     00:00:00 [irq/417-arm-smm]
root           277     2 1 13:27:49 ?     00:00:00 [crtc_commit:127]
root           278     2 0 13:27:49 ?     00:00:00 [crtc_event:127]
root           279     2 0 13:27:49 ?     00:00:00 [qseecom-unreg-l]
root           280     2 0 13:27:49 ?     00:00:00 [crtc_commit:181]
root           281     2 0 13:27:49 ?     00:00:00 [crtc_event:181]
root           282     2 0 13:27:49 ?     00:00:00 [pp_event]
root           283     2 0 13:27:49 ?     00:00:00 [kworker/u16:9]
root           284     2 0 13:27:49 ?     00:00:00 [irq/418-arm-smm]
root           285     2 0 13:27:49 ?     00:00:00 [irq/419-arm-smm]
root           286     2 0 13:27:49 ?     00:00:00 [irq/514-arm-smm]
root           287     2 0 13:27:49 ?     00:00:00 [irq/420-arm-smm]
