[ 6366.743947] google_charger: usbchg=USB typec=C usbv=4923 usbc=431 usbMv=5000 usbMc=500
[ 6376.643757] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ece6000
[ 6376.643763] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb1000
[ 6376.643804] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edbd000
[ 6376.643810] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb9000
[ 6376.643818] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71723000
[ 6376.644098] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71594000
[ 6376.644141] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716dd000
[ 6376.644163] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 714e5000
[ 6376.650296] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70d62000
[ 6376.651144] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edfb000
[ 6376.651183] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ee00000
[ 6376.651889] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed2c1d000
[ 6376.652414] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed0e41000
[ 6376.655799] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d8e000
[ 6376.655823] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d91000
[ 6376.655834] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f20d8c000
[ 6376.656512] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe236000
[ 6376.656529] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe23f000
[ 6376.656580] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edaf000
[ 6376.657326] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb2000
[ 6376.657375] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbf6fb000
[ 6376.657390] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71733000
[ 6376.657409] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71743000
[ 6376.657470] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f398c0000
[ 6376.657479] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f398a8000
[ 6376.657544] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe1f2000
[ 6376.657564] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71862000
[ 6376.657574] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71861000
[ 6376.657632] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ee02000
[ 6376.658839] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ecf3000
[ 6376.658860] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ed9b000
[ 6376.658869] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ece9000
[ 6376.658874] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edac000
[ 6376.659850] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edfa000
[ 6376.659908] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ed27000
[ 6376.659934] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71863000
[ 6376.660033] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed1058000
[ 6376.660048] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed1054000
[ 6376.660062] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 9ecf0000
[ 6376.660082] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 9eda2000
[ 6376.660726] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edb3000
[ 6376.661330] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec54f3000
[ 6376.661341] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec5498000
[ 6376.664428] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fbe2fb000
[ 6376.665287] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ebccc5000
[ 6376.665296] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec53a4000
[ 6376.666005] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ebccc6000
[ 6376.666015] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec539a000
[ 6376.666678] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec54e5000
[ 6376.667425] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec54c8000
[ 6376.667434] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec54ca000
[ 6376.667440] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec55eb000
[ 6376.672255] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed1055000
[ 6376.672778] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7f309fe000
[ 6376.673500] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec0609000
[ 6376.673512] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba5fd000
[ 6376.674085] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba5f9000
[ 6376.674088] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba5fe000
[ 6376.674091] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba5fa000
[ 6376.674098] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed289b000
[ 6376.674126] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed289d000
[ 6376.674139] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed289c000
[ 6376.674150] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ec0604000
[ 6376.674167] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba7a4000
[ 6376.674173] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ebcc4a000
[ 6376.674186] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ed2874000
[ 6376.674195] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7ebccd7000
[ 6376.674390] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fba7a1000
[ 6376.674446] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7fbd71b000
[ 6376.674686] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70d44000
[ 6376.674700] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70e5a000
[ 6376.674729] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70bf2000
[ 6376.674823] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f299e4000
[ 6376.674835] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f299e1000
[ 6376.674886] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f299e2000
[ 6376.674894] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f299e0000
[ 6376.674907] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7fbbc8c000
[ 6376.674921] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f28ab6000
[ 6376.674927] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f28ab7000
[ 6376.674939] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f232f5000
[ 6376.674944] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f232f6000
[ 6376.674988] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7e3cd14000
[ 6376.674999] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7e88199000
[ 6376.675010] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7f2d474000
[ 6376.675025] before: swapin tgid 9563 pid 10169 name "pool-12-thread-" vma 7e88227000
