[16851.370277] google_charger: usbchg=USB typec=C usbv=4962 usbc=203 usbMv=5000 usbMc=500
[16861.115963] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 712b1000
[16861.115975] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 713fa000
[16861.115982] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 71202000
[16861.115998] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 70eb7000
[16861.118517] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 70a7f000
[16861.119893] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eb19000
[16861.119911] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eb17000
[16861.121468] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7ed3da3000
[16861.125674] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7a7000
[16861.125695] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7aa000
[16861.125711] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7a8000
[16861.126397] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7ed3da6000
[16861.126442] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fbe236000
[16861.126451] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fbe23f000
[16861.126507] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 71194000
[16861.126530] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eac6000
[16861.126538] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eacf000
[16861.129171] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eac9000
[16861.129215] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fbcf58000
[16861.129221] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fbf6fb000
[16861.129232] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 71450000
[16861.129251] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 71460000
[16861.129330] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 70b70000
[16861.129365] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 70b6f000
[16861.129423] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fbe1f2000
[16861.129445] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7157f000
[16861.129453] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7157e000
[16861.130548] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 138e8000
[16861.131751] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9ea10000
[16861.131773] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eab3000
[16861.131785] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9ea06000
[16861.131792] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eac3000
[16861.132246] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 1430a000
[16861.132258] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eab2000
[16861.132311] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7ed3da5000
[16861.132325] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9ea41000
[16861.132343] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 71580000
[16861.132353] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 138d4000
[16861.132398] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ecff97000
[16861.132444] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ecff93000
[16861.132503] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 9ea0c000
[16861.132527] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 9eab9000
[16861.132970] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eac1000
[16861.133835] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 14487000
[16861.134350] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec6b6c000
[16861.134380] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28b41000
[16861.134403] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec6b11000
[16861.136018] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fffff9000
[16861.136426] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28a1b000
[16861.137131] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec81e3000
[16861.137145] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28d8e000
[16861.137156] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec6a1d000
[16861.137279] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 9eb11000
[16861.137890] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec81e4000
[16861.137907] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec6a13000
[16861.138399] swapout tgid 9403 pid 9403 name ".candycrushsaga" vma 7e9cdf1000
[16861.138432] swapout tgid 9403 pid 9403 name ".candycrushsaga" vma 7e9d456000
[16861.138476] swapout tgid 9403 pid 9403 name ".candycrushsaga" vma 7e9d5e5000
[16861.138497] swapout tgid 9403 pid 9403 name ".candycrushsaga" vma 7eb0995000
[16861.138538] swapout tgid 9403 pid 9403 name ".candycrushsaga" vma 7e8e942000
[16861.138846] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec6b5e000
[16861.139947] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec6b41000
[16861.139962] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec6b43000
[16861.139969] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec6c64000
[16861.139986] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 1438b000
[16861.141121] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fbc8ef000
[16861.141207] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fbc8f0000
[16861.141266] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 70a61000
[16861.141281] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 70b77000
[16861.141290] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 14489000
[16861.141313] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7fbc8f1000
[16861.141331] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7090f000
[16861.141362] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7f29ba4000
