[ 5323.267038] google_charger: usbchg=USB typec=C usbv=4878 usbc=489 usbMv=5000 usbMc=500
[ 5342.216290] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216346] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216472] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216516] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216556] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216606] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216656] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216707] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216809] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216913] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.216966] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217152] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217231] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217430] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217491] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217546] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217601] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217643] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217693] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217744] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217801] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.217859] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.217977] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.218030] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.218085] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
