[12834.533216] google_charger: usbchg=USB typec=C usbv=4870 usbc=489 usbMv=5000 usbMc=500
[12834.533324] sm8150_bms: MSC_PCS chg_state=1f4112303010015 [0x15:3:1:4387:500] chg=u
[12844.579243] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba2e000
[12844.579396] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbde82000
[12844.579436] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba11000
[12844.579782] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbba12000
[12862.777756] google_charger: usbchg=USB typec=C usbv=4879 usbc=489 usbMv=5000 usbMc=500
[12862.777868] sm8150_bms: MSC_PCS chg_state=1f4112403010015 [0x15:3:1:4388:500] chg=u
[12862.777879] google_battery: MSC_DIN chg_state=1f4112403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4388 icl=500
[12862.784036] google_battery: MSC_LAST vbatt=4379218 ibatt=-268437 fv_uv=4400000
[12862.784049] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[12862.784055] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[12862.784089] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[12862.802904] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbcc1a000
[12862.803005] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbce04000
[12862.803051] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbce08000
[12862.803089] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbce06000
[12862.803132] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbce09000
[12862.808018] after: swapin tgid 822 pid 1686 name "usb@1.2-service" vma 7fbba03000
[12862.808091] after: swapin tgid 822 pid 1686 name "usb@1.2-service" vma 7fbba02000
[12862.810481] healthd: battery l=99 v=4379 t=36.7 h=2 st=4 c=-268 fc=2755000 cc=9 chg=u
[12862.810629] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbe040000
[12862.810697] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbce03000
[12862.810730] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbce02000
[12886.645923] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd22b000
[12886.645970] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7ffffff000
[12886.646006] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbe422000
[12886.646039] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd226000
[12886.646065] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd21e000
[12886.646088] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbe17e000
[12886.646193] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd8b0000
[12886.646215] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbf700000
[12886.646234] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbe209000
[12886.646251] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd206000
[12886.646269] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd209000
[12886.646285] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd24e000
[12886.646299] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbe17f000
[12886.646323] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbe17d000
[12886.646344] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbe17c000
[12886.646365] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd20d000
[12886.646387] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd221000
[12886.646402] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdd79000
[12886.648873] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdd7b000
[12886.649523] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdd28000
[12886.649554] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdd26000
[12886.649578] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbde70000
[12886.649593] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbde6d000
[12886.649607] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd219000
[12886.649624] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 5555561000
[12886.650491] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fffffe000
[12886.650532] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdb9d000
[12886.650553] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd8b1000
[12886.650577] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd8b6000
[12886.650595] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdb9c000
[12886.650616] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd8b3000
[12886.650632] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd8ad000
[12886.650653] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd8aa000
[12886.650672] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdb9e000
[12886.650688] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd211000
[12886.650714] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbf6ff000
[12886.651676] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdb6f000
[12886.651722] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdfac000
[12886.651740] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb800000
[12886.651764] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb820000
[12886.651790] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdf1f000
[12886.651963] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb83f000
[12886.651988] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb825000
[12886.652029] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdc98000
[12886.652060] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb85c000
[12886.652075] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb844000
[12886.652099] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb84d000
[12886.652125] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd8a8000
[12886.652142] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd8b2000
[12886.652159] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd201000
[12886.652176] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd200000
[12886.652201] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd298000
[12886.652223] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb84e000
[12886.652244] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb859000
[12886.652265] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb851000
[12886.652284] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd404000
[12886.652304] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd400000
[12886.652320] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd407000
[12886.652343] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd406000
[12886.652361] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd408000
[12886.652382] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbd205000
[12886.652408] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb84b000
[12886.652434] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbb84c000
[12886.652497] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbb7fc000
[12886.652512] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbcfe9000
[12886.652522] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbb7fb000
[12886.652550] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbb83e000
[12886.652579] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbb83d000
[12886.652610] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbb81b000
[12886.652960] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbf6ef000
[12886.652996] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbdfad000
[12886.653252] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbb81d000
[12886.653769] before: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbb85b000
[12886.820184] swapout tgid 790 pid 790 name "main" vma f7a13000
[12886.979961] before: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdaba000
[12887.375286] swapout tgid 896 pid 896 name "thermal-engine" vma 7fbd006000
[12887.399525] before: swapin tgid 818 pid 2398 name "power@1.3-servi" vma 7fba6ff000
[12887.399560] before: swapin tgid 818 pid 2398 name "power@1.3-servi" vma 7fba6fe000
[12887.490308] after: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdd7a000
[12887.490331] after: swapin tgid 818 pid 818 name "power@1.3-servi" vma 7fbdd78000
[12887.491303] after: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbd8a9000
[12887.491363] after: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbd6dc000
[12887.491598] after: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbd6db000
[12887.491702] after: swapin tgid 818 pid 2397 name "NodeLooperThrea" vma 7fbe0ac000
[12887.492245] after: swapin tgid 1 pid 1 name "init" vma 7fc687b000
[12887.494587] after: swapin tgid 1 pid 1 name "init" vma 7f84c8c000
[12887.494603] after: swapin tgid 1 pid 1 name "init" vma 555bf5a000
[12887.494621] after: swapin tgid 1 pid 1 name "init" vma 7f862f1000
[12887.494628] after: swapin tgid 1 pid 1 name "init" vma 555bf59000
[12887.494636] after: swapin tgid 1 pid 1 name "init" vma 555bf5c000
[12887.494648] after: swapin tgid 1 pid 1 name "init" vma 7f85ef1000
[12887.494655] after: swapin tgid 1 pid 1 name "init" vma 7f86237000
[12887.494691] after: swapin tgid 1 pid 1 name "init" vma 7f86236000
[12887.494704] after: swapin tgid 1 pid 1 name "init" vma 7f85a0f000
[12887.494713] after: swapin tgid 1 pid 1 name "init" vma 7f85efe000
[12887.494729] after: swapin tgid 1 pid 1 name "init" vma 7f85ef9000
[12887.495914] after: swapin tgid 1 pid 1 name "init" vma 7f85ef0000
[12887.495930] after: swapin tgid 1 pid 1 name "init" vma 7f85ef8000
[12887.495939] after: swapin tgid 1 pid 1 name "init" vma 7f85efa000
[12887.495947] after: swapin tgid 1 pid 1 name "init" vma 7f85efb000
[12887.495954] after: swapin tgid 1 pid 1 name "init" vma 7f84c01000
[12887.497880] after: swapin tgid 1 pid 1 name "init" vma 7f84c00000
[12887.497899] after: swapin tgid 1 pid 1 name "init" vma 7f84c4c000
[12887.497918] after: swapin tgid 1 pid 1 name "init" vma 7f84826000
[12887.497926] after: swapin tgid 1 pid 1 name "init" vma 7f84e00000
[12887.497955] after: swapin tgid 1 pid 1 name "init" vma 7f85ae1000
[12887.497968] after: swapin tgid 1 pid 1 name "init" vma 7f84d12000
[12887.501065] after: swapin tgid 1 pid 1 name "init" vma 7f854a8000
[12887.501088] after: swapin tgid 1 pid 1 name "init" vma 555bf5e000
[12887.501101] after: swapin tgid 1 pid 1 name "init" vma 7f85ae3000
[12887.501110] after: swapin tgid 1 pid 1 name "init" vma 7f85ae2000
[12887.501116] after: swapin tgid 1 pid 1 name "init" vma 7f84cab000
[12887.501126] after: swapin tgid 1 pid 1 name "init" vma 7f87551000
[12887.501135] after: swapin tgid 1 pid 1 name "init" vma 7f85ae0000
[12887.501144] after: swapin tgid 1 pid 1 name "init" vma 7f84d3e000
[12887.501151] after: swapin tgid 1 pid 1 name "init" vma 7f84c09000
[12887.501159] after: swapin tgid 1 pid 1 name "init" vma 7f84c90000
[12887.501170] after: swapin tgid 1 pid 1 name "init" vma 7f84c14000
[12887.501178] after: swapin tgid 1 pid 1 name "init" vma 7f84c96000
[12887.501186] after: swapin tgid 1 pid 1 name "init" vma 7f84cdd000
[12887.503752] after: swapin tgid 1 pid 1 name "init" vma 7f85ef5000
[12887.503776] after: swapin tgid 1 pid 1 name "init" vma 7f8634c000
[12887.507839] after: swapin tgid 1 pid 1 name "init" vma 7f84cd8000
[12887.507870] after: swapin tgid 1 pid 1 name "init" vma 7f84d41000
[12887.526974] after: swapin tgid 1 pid 1 name "init" vma 7f87540000
[12887.527054] after: swapin tgid 1 pid 1 name "init" vma 7fc687c000
[12887.527083] after: swapin tgid 1 pid 1 name "init" vma 7f84c2b000
[12887.527106] after: swapin tgid 1 pid 1 name "init" vma 7f84c21000
