[ 9877.989706] google_charger: usbchg=USB typec=C usbv=4883 usbc=489 usbMv=5000 usbMc=500
[ 9877.989803] sm8150_bms: MSC_PCS chg_state=1f410d503010015 [0x15:3:1:4309:500] chg=u
[ 9889.026410] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.026533] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.026665] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.026728] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.026964] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027065] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027310] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027384] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027453] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027516] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027571] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027634] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027726] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.027878] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.028021] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.028110] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.028181] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.028310] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.028378] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.028443] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.028552] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.028658] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.028722] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.028830] after: swapin tgid 18093 pid 18093 name "ps" vma fffef000
[ 9889.028933] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029083] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029149] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029267] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029331] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029396] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029465] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
[ 9889.029537] after: swapin tgid 18093 pid 18093 name "ps" vma 7ffffff000
