72a74000-72a75000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72a75000-72a7a000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72a7a000-72a85000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72a85000-72a86000 rw-p 00000000 00:00 0                                  [anon:.bss]
72a86000-72a87000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
72a87000-72a88000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72a88000-72a89000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72a89000-72a8b000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72a8b000-72a8c000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
72a8c000-72a8d000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72a8d000-72a8e000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72a8e000-72bfd000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
72bfd000-72bfe000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72bfe000-72c13000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72c13000-7628f000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
7628f000-76a8e000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
76a8e000-96a8e000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
96a8e000-98a8e000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
98a8e000-9aa8e000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
9aa8e000-9ca8e000 rw-s 00000000 00:01 383135                             /memfd:/jit-cache (deleted)
9ca8e000-9ea8e000 r-xs 02000000 00:01 383135                             /memfd:/jit-cache (deleted)
9ea8e000-9ec96000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/com.rovio.baba-I29X92BE5zNdsaQGKyg_HQ==/oat/arm64/base.art]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
7f4038000-7f403a000 rw-s 006e6000 00:12 29750                            /dev/kgsl-3d0
7f403a000-7f403c000 rw-s 006e5000 00:12 29750                            /dev/kgsl-3d0
7f403c000-7f403e000 rw-s 006e4000 00:12 29750                            /dev/kgsl-3d0
7f403e000-7f4040000 rw-s 006e3000 00:12 29750                            /dev/kgsl-3d0
7f4040000-7f4042000 rw-s 006e2000 00:12 29750                            /dev/kgsl-3d0
7f4042000-7f4044000 rw-s 006e1000 00:12 29750                            /dev/kgsl-3d0
7f4044000-7f4046000 rw-s 006e0000 00:12 29750                            /dev/kgsl-3d0
7f4046000-7f4048000 rw-s 006df000 00:12 29750                            /dev/kgsl-3d0
7f4048000-7f404a000 rw-s 006de000 00:12 29750                            /dev/kgsl-3d0
7f404a000-7f404c000 rw-s 006dd000 00:12 29750                            /dev/kgsl-3d0
7f404c000-7f404e000 rw-s 006dc000 00:12 29750                            /dev/kgsl-3d0
