# tracer: nop
#
# entries-in-buffer/entries-written: 5325/5325   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6063  [006] d..4  1257.556018: __free_cluster: [REMOTE __free_cluster] free cluster 1882
 send_target_man-200   [001] ...1  1270.194666: send_zram_to_nbd: target sent id 4: 6534 7ec031e000 83232
 send_target_man-200   [001] ...1  1270.198004: send_zram_to_nbd: target sent id 4: 6534 7e9f8c6000 83233
 send_target_man-200   [001] ...1  1270.201417: send_zram_to_nbd: target sent id 4: 6534 7e9f5c7000 83234
 send_target_man-200   [001] ...1  1270.203837: send_zram_to_nbd: target sent id 4: 6534 7e9fc9f000 83235
 send_target_man-200   [000] ...1  1270.206658: send_zram_to_nbd: target sent id 4: 6534 7e9f6e2000 83236
 send_target_man-200   [000] ...1  1270.208521: send_zram_to_nbd: target sent id 4: 6534 7e9f78d000 83237
 send_target_man-200   [000] ...1  1270.210414: send_zram_to_nbd: target sent id 4: 6534 7e9f78e000 83238
 send_target_man-200   [000] ...1  1270.218731: send_zram_to_nbd: target sent id 4: 6534 7eba0e8000 83239
 send_target_man-200   [000] ...1  1270.221735: send_zram_to_nbd: target sent id 4: 6534 7fbe22d000 8323a
 send_target_man-200   [000] ...1  1270.223943: send_zram_to_nbd: target sent id 4: 6534 7f39895000 8323b
 send_target_man-200   [000] ...1  1270.227688: send_zram_to_nbd: target sent id 4: 6534 7fbe22b000 8323c
 send_target_man-200   [000] ...1  1270.231299: send_zram_to_nbd: target sent id 4: 6534 7e9f8e7000 8323d
 send_target_man-200   [003] ...1  1270.236349: send_zram_to_nbd: target sent id 4: 6534 7e9f8e8000 8323e
 send_target_man-200   [003] ...1  1270.240023: send_zram_to_nbd: target sent id 4: 6534 7eb05b5000 8323f
 send_target_man-200   [001] ...1  1270.242503: send_zram_to_nbd: target sent id 4: 6534 7eb0aee000 83240
 send_target_man-200   [001] ...1  1270.245323: send_zram_to_nbd: target sent id 4: 6534 7e9f8f1000 83241
 send_target_man-200   [001] ...1  1270.249218: send_zram_to_nbd: target sent id 4: 6534 7e9f8f2000 83242
 send_target_man-200   [001] ...1  1270.251582: send_zram_to_nbd: target sent id 4: 6534 7e9f964000 83243
 send_target_man-200   [001] ...1  1270.254778: send_zram_to_nbd: target sent id 4: 6534 7e9f965000 83244
 send_target_man-200   [003] ...1  1270.258231: send_zram_to_nbd: target sent id 4: 6534 7e9f94b000 83245
 send_target_man-200   [003] ...1  1270.260770: send_zram_to_nbd: target sent id 4: 6534 7f2d83e000 83246
 send_target_man-200   [003] ...1  1270.263704: send_zram_to_nbd: target sent id 4: 6534 7f2d83a000 83247
 send_target_man-200   [003] ...1  1270.265663: send_zram_to_nbd: target sent id 4: 6534 7f2d82d000 83248
 send_target_man-200   [003] ...1  1270.269297: send_zram_to_nbd: target sent id 4: 6534 7f2d827000 83249
 send_target_man-200   [003] ...1  1270.272464: send_zram_to_nbd: target sent id 4: 6534 7f2d836000 8324a
 send_target_man-200   [003] ...1  1270.277063: send_zram_to_nbd: target sent id 4: 6534 7f2d83d000 8324b
 send_target_man-200   [003] ...1  1270.280902: send_zram_to_nbd: target sent id 4: 6534 7f2d838000 8324c
 send_target_man-200   [003] ...1  1270.283086: send_zram_to_nbd: target sent id 4: 6534 7f28a5a000 8324d
 send_target_man-200   [003] ...1  1270.286279: send_zram_to_nbd: target sent id 4: 6534 7e9f502000 8324e
