# tracer: nop
#
# entries-in-buffer/entries-written: 5137/5137   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6048  [004] d..4   864.086419: __free_cluster: [REMOTE __free_cluster] free cluster 1015
 send_target_man-200   [000] ...1   878.683984: send_zram_to_nbd: target sent id 4: 6514 7ea3bad000 26c32
 send_target_man-200   [000] ...1   878.685839: send_zram_to_nbd: target sent id 4: 6514 7ea3f4e000 26c33
 send_target_man-200   [000] ...1   878.688160: send_zram_to_nbd: target sent id 4: 6514 7ebce60000 26c34
 send_target_man-200   [000] ...1   878.691164: send_zram_to_nbd: target sent id 4: 6514 7eafcbc000 26c35
 send_target_man-200   [000] ...1   878.693485: send_zram_to_nbd: target sent id 4: 6514 7e9dc01000 26c36
 send_target_man-200   [000] ...1   878.695577: send_zram_to_nbd: target sent id 4: 6514 7f2d736000 26c37
 send_target_man-200   [000] ...1   878.697532: send_zram_to_nbd: target sent id 4: 6514 7ea39b0000 26c38
 send_target_man-200   [000] ...1   878.699469: send_zram_to_nbd: target sent id 4: 6514 7ebcdc6000 26c39
 send_target_man-200   [000] ...1   878.701627: send_zram_to_nbd: target sent id 4: 6514 7eaf871000 26c3a
 send_target_man-200   [000] ...1   878.703634: send_zram_to_nbd: target sent id 4: 6514 7ebcdc9000 26c3b
 send_target_man-200   [000] ...1   878.705945: send_zram_to_nbd: target sent id 4: 6514 7ea410f000 26c3c
 send_target_man-200   [000] ...1   878.707988: send_zram_to_nbd: target sent id 4: 6514 7ec791b000 26c3d
 send_target_man-200   [000] ...1   878.710121: send_zram_to_nbd: target sent id 4: 6514 7e9b0ac000 26c3e
 send_target_man-200   [000] ...1   878.711974: send_zram_to_nbd: target sent id 4: 6514 7eafc15000 26c3f
 send_target_man-200   [000] ...1   878.713716: send_zram_to_nbd: target sent id 4: 6514 7f2d603000 26c40
 send_target_man-200   [000] ...1   878.715597: send_zram_to_nbd: target sent id 4: 6514 7eafc5a000 26c41
 send_target_man-200   [000] ...1   878.717285: send_zram_to_nbd: target sent id 4: 6514 7f2d68e000 26c42
