728b0000-728b1000 rw-p 00000000 00:00 0                                  [anon:.bss]
728b1000-728b2000 r--s 00000000 fd:00 1381                               /system/framework/boot-telephony-common.vdex
728b2000-728b3000 r--p 001c1000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
728b3000-728b4000 rw-p 001c2000 fd:00 1364                               /system/framework/arm64/boot-telephony-common.oat
728b4000-728b6000 r--p 00000000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
728b6000-728b7000 r-xp 00002000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
728b7000-728b8000 rw-p 00000000 00:00 0                                  [anon:.bss]
728b8000-728b9000 r--s 00000000 fd:00 1382                               /system/framework/boot-voip-common.vdex
728b9000-728ba000 r--p 00003000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
728ba000-728bb000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
728bb000-728c0000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
728c0000-728cb000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
728cb000-728cc000 rw-p 00000000 00:00 0                                  [anon:.bss]
728cc000-728cd000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
728cd000-728ce000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
728ce000-728cf000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
728cf000-728d1000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
728d1000-728d2000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
728d2000-728d3000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
728d3000-728d4000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
728d4000-72a43000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
72a43000-72a44000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72a44000-72a6d000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72a6d000-760d5000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
760d5000-768d4000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
768d4000-968d4000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
968d4000-988d4000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
988d4000-9a8d4000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
9a8d4000-9c8d4000 rw-s 00000000 00:01 224566                             /memfd:/jit-cache (deleted)
9c8d4000-9e8d4000 r-xs 02000000 00:01 224566                             /memfd:/jit-cache (deleted)
9e8d4000-9ea69000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/com.king.candycrushsaga-PLBy10I-thXfvYnXXqzvxA==/oat/arm64/base.art]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
7f8d90000-7f8db0000 rw-s 00734000 00:12 29819                            /dev/kgsl-3d0
7f8dd0000-7f8df0000 rw-s 00728000 00:12 29819                            /dev/kgsl-3d0
7f8dfb000-7f8dff000 rw-s 00727000 00:12 29819                            /dev/kgsl-3d0
7f8dff000-7f8e03000 rw-s 00726000 00:12 29819                            /dev/kgsl-3d0
7f8e03000-7f8e07000 rw-s 00725000 00:12 29819                            /dev/kgsl-3d0
7f8e07000-7f8e0b000 rw-s 00724000 00:12 29819                            /dev/kgsl-3d0
7f8e0b000-7f8e0f000 rw-s 00723000 00:12 29819                            /dev/kgsl-3d0
7f8e0f000-7f8e13000 rw-s 00722000 00:12 29819                            /dev/kgsl-3d0
7f8e13000-7f8e17000 rw-s 00721000 00:12 29819                            /dev/kgsl-3d0
7f8e17000-7f8e18000 rw-s 00720000 00:12 29819                            /dev/kgsl-3d0
7f8e18000-7f8e19000 rw-s 0071f000 00:12 29819                            /dev/kgsl-3d0
7f8e19000-7f8e1a000 rw-s 0071e000 00:12 29819                            /dev/kgsl-3d0
7f8e1a000-7f8e1b000 rw-s 0071d000 00:12 29819                            /dev/kgsl-3d0
7f8e1b000-7f8e1c000 rw-s 0071c000 00:12 29819                            /dev/kgsl-3d0
7f8e1c000-7f8e1d000 rw-s 0071b000 00:12 29819                            /dev/kgsl-3d0
7f8e1d000-7f8e1e000 rw-s 0071a000 00:12 29819                            /dev/kgsl-3d0
7f8e1e000-7f8e1f000 rw-s 00719000 00:12 29819                            /dev/kgsl-3d0
7f8e1f000-7f8e20000 rw-s 00718000 00:12 29819                            /dev/kgsl-3d0
7f8e20000-7f8e21000 rw-s 00717000 00:12 29819                            /dev/kgsl-3d0
7f8e21000-7f8e22000 rw-s 00716000 00:12 29819                            /dev/kgsl-3d0
7f8e22000-7f8e23000 rw-s 00715000 00:12 29819                            /dev/kgsl-3d0
7f8e23000-7f8e24000 rw-s 00714000 00:12 29819                            /dev/kgsl-3d0
7f8e24000-7f8e25000 rw-s 00713000 00:12 29819                            /dev/kgsl-3d0
7f8e25000-7f8e26000 rw-s 00712000 00:12 29819                            /dev/kgsl-3d0
7f8e26000-7f8e27000 rw-s 00711000 00:12 29819                            /dev/kgsl-3d0
7f8e27000-7f8e28000 rw-s 00710000 00:12 29819                            /dev/kgsl-3d0
7f8e28000-7f8e29000 rw-s 0070f000 00:12 29819                            /dev/kgsl-3d0
7f8e29000-7f8e2a000 rw-s 0070e000 00:12 29819                            /dev/kgsl-3d0
7f8e2a000-7f8e2b000 rw-s 0070d000 00:12 29819                            /dev/kgsl-3d0
7f8e2b000-7f8e2c000 rw-s 0070c000 00:12 29819                            /dev/kgsl-3d0
7f8e2c000-7f8e34000 rw-s 0070b000 00:12 29819                            /dev/kgsl-3d0
