id 7, table 0 || 140: 14462 7e6e420000
id 7, table 0 || 141: 14462 7e6e52a000
id 7, table 0 || 142: 14462 7e6e275000
id 7, table 0 || 143: 14462 7e8de3d000
id 7, table 0 || 144: 14462 7e8e12f000
id 7, table 0 || 145: 14462 7e8dd6c000
id 7, table 0 || 146: 14462 7e69810000
id 7, table 0 || 147: 14462 7e8e069000
id 7, table 0 || 148: 14462 7fbbfee000
id 7, table 0 || 149: 14462 7e940c0000
id 7, table 0 || 150: 14462 7eabbbe000
id 7, table 0 || 151: 14462 7f20a5c000
id 7, table 0 || 152: 14462 7e93f10000
id 7, table 0 || 153: 14462 7e93f11000
id 7, table 0 || 154: 14462 7e9405b000
id 7, table 0 || 155: 14462 7e9405c000
id 7, table 0 || 156: 14462 7e69899000
id 7, table 0 || 157: 14462 7ecda65000
id 7, table 0 || 158: 14462 7e9405d000
id 7, table 0 || 159: 14462 7e942a7000
id 7, table 0 || 160: 14462 7e942a8000
id 7, table 0 || 161: 14462 7e942a9000
id 7, table 0 || 162: 14462 7e942aa000
id 7, table 0 || 163: 14462 7e942ab000
id 7, table 0 || 164: 14462 7e8dd23000
id 7, table 0 || 165: 14462 7e8dd24000
id 7, table 0 || 166: 14462 7e8dd25000
id 7, table 0 || 167: 14462 7e8dd26000
id 7, table 0 || 168: 14462 7e8dd27000
id 7, table 0 || 169: 14462 7e8dd30000
id 7, table 0 || 170: 14462 7e8dd31000
id 7, table 0 || 171: 14462 7ecd9fa000
id 7, table 0 || 172: 14462 7e8dd32000
id 7, table 0 || 173: 14462 7e8dd33000
id 7, table 0 || 174: 14462 7e8e0dd000
id 7, table 0 || 175: 14462 7e8e0de000
id 7, table 0 || 176: 14462 7e6e568000
id 7, table 0 || 177: 14462 7e8e0df000
id 7, table 0 || 178: 14462 7ecd9fc000
id 7, table 0 || 179: 14462 7fbaa37000
id 7, table 0 || 180: 14462 7e52a3b000
id 7, table 0 || 181: 14462 7e52ae5000
id 7, table 0 || 182: 14462 7e93ead000
id 7, table 0 || 183: 14462 7f28b31000
id 7, table 0 || 184: 14462 7e6e255000
id 7, table 0 || 185: 14462 7e6e252000
id 7, table 0 || 186: 14462 7e8e0a3000
id 7, table 0 || 187: 14462 7e8e11b000
id 7, table 0 || 188: 14462 7e8e0e0000
id 7, table 0 || 189: 14462 7e8e09c000
id 7, table 0 || 190: 14462 7e6e0e3000
id 7, table 0 || 191: 14462 7e52a3c000
id 7, table 0 || 192: 14462 7e6e1cd000
id 7, table 0 || 193: 14462 7e6e1d3000
id 7, table 0 || 194: 14462 7e8e0f0000
id 7, table 0 || 195: 14462 7e6e260000
id 7, table 0 || 196: 14462 7e8de24000
id 7, table 0 || 197: 14462 7e8e101000
id 7, table 0 || 198: 14462 7e8e102000
id 7, table 0 || 199: 14462 7e8e11d000
id 7, table 0 || 200: 14462 7e6e28a000
id 7, table 0 || 201: 14462 7e6e2b0000
id 7, table 0 || 202: 14462 7e93ebe000
id 7, table 0 || 203: 14462 7e8dd28000
id 7, table 0 || 204: 14462 7e8e11c000
id 7, table 0 || 205: 14462 7e94262000
id 7, table 0 || 206: 14462 7e6e2b2000
id 7, table 0 || 207: 14462 7e8decd000
id 7, table 0 || 208: 14462 7e6926b000
id 7, table 0 || 209: 14462 7e6926c000
id 7, table 0 || 210: 14462 7e6926d000
id 7, table 0 || 211: 14462 7e6e293000
id 7, table 0 || 212: 14462 7e6e0e4000
id 7, table 0 || 213: 14462 7e6e19f000
id 7, table 0 || 214: 14462 7e6e28c000
id 7, table 0 || 215: 14462 7e8e16f000
id 7, table 0 || 216: 14462 7e6e1b2000
id 7, table 0 || 217: 14462 7e8e0a4000
id 7, table 0 || 218: 14462 7e6e570000
id 7, table 0 || 219: 14462 7e6e1ce000
id 7, table 0 || 220: 14462 7e6e1d5000
id 7, table 0 || 221: 14462 7e8de6b000
id 7, table 0 || 222: 14462 7e8e09d000
id 7, table 0 || 223: 14462 7e52965000
id 7, table 0 || 224: 14462 7e69745000
id 7, table 0 || 225: 14462 7ecdad4000
id 7, table 0 || 226: 14462 7ecdad5000
id 7, table 0 || 227: 14462 7e6e138000
id 7, table 0 || 228: 14462 7e8decf000
id 7, table 0 || 229: 14462 7e6e139000
id 7, table 0 || 230: 14462 7e6e2b3000
id 7, table 0 || 231: 14462 7e6e15f000
id 7, table 0 || 232: 14462 7e6e2ea000
id 7, table 0 || 233: 14462 7e8e0ef000
id 7, table 0 || 234: 14462 7e6e2b4000
id 7, table 0 || 235: 14462 7e8e09e000
id 7, table 0 || 236: 14462 7e6e201000
id 7, table 0 || 237: 14462 7e8e164000
id 7, table 0 || 238: 14462 7e6e1d4000
id 7, table 0 || 239: 14462 7e6e0fc000
id 7, table 0 || 240: 14462 7e6e202000
id 7, table 0 || 241: 14462 7ea7325000
id 7, table 0 || 242: 14462 7e6e1d6000
id 7, table 0 || 243: 14462 7e6e296000
id 7, table 0 || 244: 14462 7e6e294000
id 7, table 0 || 245: 14462 7e697c3000
id 7, table 0 || 246: 14462 7e698a6000
id 7, table 0 || 247: 14462 71b4d000
id 7, table 0 || 248: 14462 71b4c000
id 7, table 0 || 249: 14462 7e6e1cf000
id 7, table 0 || 250: 14462 7e698f1000
id 7, table 0 || 251: 14462 7e52978000
id 7, table 0 || 252: 14462 7e6e1d1000
id 7, table 0 || 253: 14462 7e8dfb7000
id 7, table 0 || 254: 14462 7e8dea8000
id 7, table 0 || 255: 14462 7f28b46000
id 7, table 0 || 256: 14462 7e8e124000
id 7, table 0 || 257: 14462 7ea7404000
id 7, table 0 || 258: 14462 7ea7324000
id 7, table 0 || 259: 14462 7ea7322000
id 7, table 0 || 260: 14462 7ea7309000
id 7, table 0 || 261: 14462 7ea736c000
id 7, table 0 || 262: 14462 7f28b43000
id 7, table 0 || 263: 14462 7e8de2a000
id 7, table 0 || 264: 14462 7e6e26f000
id 7, table 0 || 265: 14462 7e6e270000
id 7, table 0 || 266: 14462 7e6e272000
id 7, table 0 || 267: 14462 7e8dfd7000
id 7, table 0 || 268: 14462 7e6e274000
id 7, table 0 || 269: 14462 7fbe34f000
id 7, table 0 || 270: 14462 7fbe350000
id 7, table 0 || 271: 14462 7e8e134000
id 7, table 0 || 272: 14462 7e6e312000
id 7, table 0 || 273: 14462 7e6e203000
id 7, table 0 || 274: 14462 7ea7429000
id 7, table 0 || 275: 14462 7e6e28d000
id 7, table 0 || 276: 14462 7e8de4d000
id 7, table 0 || 277: 14462 7e6e1d2000
id 7, table 0 || 278: 14462 7e6e295000
id 7, table 0 || 279: 14462 7fbe356000
id 7, table 0 || 280: 14462 7f28990000
id 7, table 0 || 281: 14462 7f28975000
id 7, table 0 || 282: 14462 7f2899c000
id 7, table 0 || 283: 14462 7e93eeb000
id 7, table 0 || 284: 14462 7ea730f000
id 7, table 0 || 285: 14462 7ea7310000
id 7, table 0 || 286: 14462 7e6e226000
id 7, table 0 || 287: 14462 7e6e233000
id 7, table 0 || 288: 14462 7e93f1a000
id 7, table 0 || 289: 14462 7e6e28e000
id 7, table 0 || 290: 14462 7ea74aa000
id 7, table 0 || 291: 14462 7ea74ab000
id 7, table 0 || 292: 14462 7f3986b000
id 7, table 0 || 293: 14462 7ea7370000
id 7, table 0 || 294: 14462 7ea7371000
id 7, table 0 || 295: 14462 7e8e0ed000
id 7, table 0 || 296: 14462 7e8e0ec000
id 7, table 0 || 297: 14462 7e8dfb6000
id 7, table 0 || 298: 14462 7e5295e000
id 7, table 0 || 299: 14462 7e8e013000
id 7, table 0 || 300: 14462 7ea7462000
id 7, table 0 || 301: 14462 7ea7558000
id 7, table 0 || 302: 14462 7ea745c000
id 7, table 0 || 303: 14462 7e8de9f000
id 7, table 0 || 304: 14462 7ecda66000
id 7, table 0 || 305: 14462 7ea736f000
id 7, table 0 || 306: 14462 7e6e223000
id 7, table 0 || 307: 14462 7ecdbd8000
id 7, table 0 || 308: 14462 7ea72db000
id 7, table 0 || 309: 14462 7e8def9000
id 7, table 0 || 310: 14462 7e6e6ac000
id 7, table 0 || 311: 14462 7e52ebb000
id 7, table 0 || 312: 14462 7e52ebc000
id 7, table 0 || 313: 14462 7e52ebd000
id 7, table 0 || 314: 14462 7e52ebe000
id 7, table 0 || 315: 14462 7e52ebf000
id 7, table 0 || 316: 14462 7e8dd6d000
id 7, table 0 || 317: 14462 7e52ec0000
id 7, table 0 || 318: 14462 7e8dea4000
id 7, table 0 || 319: 14462 710ae000
id 7, table 0 || 320: 14462 7e52eda000
id 7, table 0 || 321: 14462 7e52edb000
id 7, table 0 || 322: 14462 7e52f00000
id 7, table 0 || 323: 14462 7e52f01000
id 7, table 0 || 324: 14462 7e52f4a000
id 7, table 0 || 325: 14462 7e52f4b000
id 7, table 0 || 326: 14462 7e52f4c000
id 7, table 0 || 327: 14462 7e8ded0000
id 7, table 0 || 328: 14462 7e52f4d000
id 7, table 0 || 329: 14462 7e8dea5000
id 7, table 0 || 330: 14462 7e52f4f000
id 7, table 0 || 331: 14462 7e52f50000
id 7, table 0 || 332: 14462 7e52f51000
id 7, table 0 || 333: 14462 7e52f52000
id 7, table 0 || 334: 14462 7e52f58000
