72960000-72962000 r--p 00000000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72962000-72963000 r-xp 00002000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72963000-72964000 rw-p 00000000 00:00 0                                  [anon:.bss]
72964000-72965000 r--s 00000000 fd:00 1382                               /system/framework/boot-voip-common.vdex
72965000-72966000 r--p 00003000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72966000-72967000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72967000-7296c000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
7296c000-72977000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72977000-72978000 rw-p 00000000 00:00 0                                  [anon:.bss]
72978000-72979000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
72979000-7297a000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
7297a000-7297b000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
7297b000-7297d000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
7297d000-7297e000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
7297e000-7297f000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
7297f000-72980000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72980000-72aef000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
72aef000-72af0000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72af0000-72b22000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72b22000-76181000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
76181000-76980000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
76980000-96980000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
96980000-98980000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
98980000-9a980000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
9a980000-9c980000 rw-s 00000000 00:01 251749                             /memfd:/jit-cache (deleted)
9c980000-9e980000 r-xs 02000000 00:01 251749                             /memfd:/jit-cache (deleted)
9e980000-9ea76000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/com.rovio.baba-KJphjDxkvPHRFA9EmQi_Qg==/oat/arm64/base.art]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
7f0420000-7f06e0000 rw-s 0091a000 00:12 2265                             /dev/kgsl-3d0
7f0880000-7f0890000 rw-s 00c23000 00:12 2265                             /dev/kgsl-3d0
7f0af0000-7f0b30000 rw-s 00c04000 00:12 2265                             /dev/kgsl-3d0
7f0b80000-7f0b90000 rw-s 00bfc000 00:12 2265                             /dev/kgsl-3d0
7f0ba0000-7f0be0000 rw-s 00bd1000 00:12 2265                             /dev/kgsl-3d0
7f0d00000-7f0d68000 rw-s 005d7000 00:12 2265                             /dev/kgsl-3d0
7f1250000-7f1270000 rw-s 0056e000 00:12 2265                             /dev/kgsl-3d0
7f1300000-7f1310000 rw-s 00b81000 00:12 2265                             /dev/kgsl-3d0
7f2402000-7f2404000 rw-s 00b84000 00:12 2265                             /dev/kgsl-3d0
7f2482000-7f2484000 rw-s 00c26000 00:12 2265                             /dev/kgsl-3d0
7f24f0000-7f2510000 rw-s 00b8b000 00:12 2265                             /dev/kgsl-3d0
7f25fc000-7f25fe000 rw-s 00c14000 00:12 2265                             /dev/kgsl-3d0
7f2900000-7f2968000 rw-s 00959000 00:12 2265                             /dev/kgsl-3d0
7f296e000-7f2970000 rw-s 00c33000 00:12 2265                             /dev/kgsl-3d0
7f2980000-7f29a0000 rw-s 00b7b000 00:12 2265                             /dev/kgsl-3d0
7f29a0000-7f29c0000 rw-s 00b7a000 00:12 2265                             /dev/kgsl-3d0
7f29c0000-7f2ad0000 rw-s 00957000 00:12 2265                             /dev/kgsl-3d0
7f2ad2000-7f2ad4000 rw-s 00c32000 00:12 2265                             /dev/kgsl-3d0
7f2ada000-7f2adc000 rw-s 00c30000 00:12 2265                             /dev/kgsl-3d0
7f2b20000-7f2b68000 rw-s 0094a000 00:12 2265                             /dev/kgsl-3d0
7f2b6c000-7f2b70000 rw-s 0005b000 00:12 2265                             /dev/kgsl-3d0
7f2b80000-7f2ba0000 rw-s 00b6b000 00:12 2265                             /dev/kgsl-3d0
7f2d36000-7f2d38000 rw-s 00be0000 00:12 2265                             /dev/kgsl-3d0
7f2d42000-7f2d44000 rw-s 00c21000 00:12 2265                             /dev/kgsl-3d0
7f2d48000-7f2d4a000 rw-s 00c1a000 00:12 2265                             /dev/kgsl-3d0
7f2d50000-7f2d70000 rw-s 009ce000 00:12 2265                             /dev/kgsl-3d0
7f2d80000-7f2da0000 rw-s 009a8000 00:12 2265                             /dev/kgsl-3d0
7f2df0000-7f2e10000 rw-s 00917000 00:12 2265                             /dev/kgsl-3d0
7f2e58000-7f2e5a000 rw-s 00bd5000 00:12 2265                             /dev/kgsl-3d0
7f2f80000-7f3090000 rw-s 0090f000 00:12 2265                             /dev/kgsl-3d0
7f30a0000-7f30b0000 rw-s 00990000 00:12 2265                             /dev/kgsl-3d0
7f30b0000-7f30d0000 rw-s 00912000 00:12 2265                             /dev/kgsl-3d0
7f30ee000-7f30f0000 rw-s 0090c000 00:12 2265                             /dev/kgsl-3d0
7f31ee000-7f31f0000 rw-s 00c03000 00:12 2265                             /dev/kgsl-3d0
7f3650000-7f3690000 rw-s 008fb000 00:12 2265                             /dev/kgsl-3d0
7f3728000-7f372a000 rw-s 00bf8000 00:12 2265                             /dev/kgsl-3d0
7f372a000-7f372c000 rw-s 00bf7000 00:12 2265                             /dev/kgsl-3d0
7f377a000-7f377c000 rw-s 00c28000 00:12 2265                             /dev/kgsl-3d0
7f38e2000-7f38e4000 rw-s 00c2c000 00:12 2265                             /dev/kgsl-3d0
7f38e4000-7f38e6000 rw-s 00d79000 00:12 2265                             /dev/kgsl-3d0
7f38e6000-7f38e8000 rw-s 00d60000 00:12 2265                             /dev/kgsl-3d0
7f38e8000-7f38ea000 rw-s 00d5f000 00:12 2265                             /dev/kgsl-3d0
7f38ea000-7f38ec000 rw-s 00d49000 00:12 2265                             /dev/kgsl-3d0
7f38ec000-7f38ee000 rw-s 00d48000 00:12 2265                             /dev/kgsl-3d0
7f38ee000-7f38f0000 rw-s 00d3f000 00:12 2265                             /dev/kgsl-3d0
7f38f2000-7f38f4000 rw-s 00869000 00:12 2265                             /dev/kgsl-3d0
7f38f6000-7f38f8000 rw-s 00921000 00:12 2265                             /dev/kgsl-3d0
7f38fa000-7f38fc000 rw-s 00c2a000 00:12 2265                             /dev/kgsl-3d0
7f3908000-7f390a000 rw-s 0093b000 00:12 2265                             /dev/kgsl-3d0
7f390e000-7f3910000 rw-s 000c8000 00:12 2265                             /dev/kgsl-3d0
7f3930000-7f3940000 rw-s 006f9000 00:12 2265                             /dev/kgsl-3d0
7f3942000-7f3944000 rw-s 00bdf000 00:12 2265                             /dev/kgsl-3d0
7f3964000-7f3966000 rw-s 00bdb000 00:12 2265                             /dev/kgsl-3d0
7f3966000-7f3968000 rw-s 006da000 00:12 2265                             /dev/kgsl-3d0
7f396a000-7f396c000 rw-s 006d8000 00:12 2265                             /dev/kgsl-3d0
7f396e000-7f3970000 rw-s 006d6000 00:12 2265                             /dev/kgsl-3d0
7f3972000-7f3974000 rw-s 00bdc000 00:12 2265                             /dev/kgsl-3d0
7f3974000-7f3976000 rw-s 00bda000 00:12 2265                             /dev/kgsl-3d0
7f3988000-7f398a000 rw-s 006c9000 00:12 2265                             /dev/kgsl-3d0
7f398c000-7f398e000 rw-s 006c7000 00:12 2265                             /dev/kgsl-3d0
7f3990000-7f3992000 rw-s 006c5000 00:12 2265                             /dev/kgsl-3d0
7f3994000-7f3996000 rw-s 00bd6000 00:12 2265                             /dev/kgsl-3d0
7f3a5c000-7f3a5e000 rw-s 00698000 00:12 2265                             /dev/kgsl-3d0
7f3a6c000-7f3a6e000 rw-s 00690000 00:12 2265                             /dev/kgsl-3d0
7f3ab4000-7f3ac4000 rw-s 00b73000 00:12 2265                             /dev/kgsl-3d0
7f3ac4000-7f3ac6000 rw-s 00685000 00:12 2265                             /dev/kgsl-3d0
7f3ae8000-7f3aea000 rw-s 00672000 00:12 2265                             /dev/kgsl-3d0
7f3aec000-7f3aee000 rw-s 00b77000 00:12 2265                             /dev/kgsl-3d0
7f3afe000-7f3b06000 rw-s 00b6d000 00:12 2265                             /dev/kgsl-3d0
7f3b06000-7f3b08000 rw-s 00659000 00:12 2265                             /dev/kgsl-3d0
7f3b10000-7f3b12000 rw-s 00654000 00:12 2265                             /dev/kgsl-3d0
7f3b18000-7f3b1a000 rw-s 00650000 00:12 2265                             /dev/kgsl-3d0
7f3b20000-7f3b24000 rw-s 00b69000 00:12 2265                             /dev/kgsl-3d0
7f3b2c000-7f3b3c000 rw-s 00b67000 00:12 2265                             /dev/kgsl-3d0
7f3b42000-7f3b44000 rw-s 00642000 00:12 2265                             /dev/kgsl-3d0
7f3b46000-7f3b48000 rw-s 00b63000 00:12 2265                             /dev/kgsl-3d0
7f3b4c000-7f3b4e000 rw-s 0063d000 00:12 2265                             /dev/kgsl-3d0
7f3b50000-7f3b52000 rw-s 0063b000 00:12 2265                             /dev/kgsl-3d0
7f3b54000-7f3b56000 rw-s 00b5f000 00:12 2265                             /dev/kgsl-3d0
7f3b56000-7f3b58000 rw-s 00638000 00:12 2265                             /dev/kgsl-3d0
7f3b5c000-7f3b5e000 rw-s 00b5d000 00:12 2265                             /dev/kgsl-3d0
7f3b68000-7f3b6a000 rw-s 00b56000 00:12 2265                             /dev/kgsl-3d0
7f3b70000-7f3b72000 rw-s 00635000 00:12 2265                             /dev/kgsl-3d0
7f3b74000-7f3b76000 rw-s 00b52000 00:12 2265                             /dev/kgsl-3d0
7f3b78000-7f3b7c000 rw-s 00b4f000 00:12 2265                             /dev/kgsl-3d0
7f3b7c000-7f3b7e000 rw-s 00633000 00:12 2265                             /dev/kgsl-3d0
7f3b82000-7f3b84000 rw-s 00630000 00:12 2265                             /dev/kgsl-3d0
7f3ba4000-7f3ba6000 rw-s 00626000 00:12 2265                             /dev/kgsl-3d0
7f3ba8000-7f3baa000 rw-s 00b3b000 00:12 2265                             /dev/kgsl-3d0
7f3baa000-7f3bac000 rw-s 00623000 00:12 2265                             /dev/kgsl-3d0
7f3bac000-7f3bae000 rw-s 00622000 00:12 2265                             /dev/kgsl-3d0
7f3bb6000-7f3bb8000 rw-s 00b39000 00:12 2265                             /dev/kgsl-3d0
7f3bbe000-7f3bc0000 rw-s 00620000 00:12 2265                             /dev/kgsl-3d0
7f3bc0000-7f3bc2000 rw-s 0061f000 00:12 2265                             /dev/kgsl-3d0
7f3bc2000-7f3bc4000 rw-s 0061e000 00:12 2265                             /dev/kgsl-3d0
7f3bc6000-7f3bc8000 rw-s 00b37000 00:12 2265                             /dev/kgsl-3d0
7f3bce000-7f3bd0000 rw-s 00618000 00:12 2265                             /dev/kgsl-3d0
7f3bd2000-7f3bd4000 rw-s 00b33000 00:12 2265                             /dev/kgsl-3d0
7f3bd6000-7f3bd8000 rw-s 00614000 00:12 2265                             /dev/kgsl-3d0
7f3bd8000-7f3bda000 rw-s 00613000 00:12 2265                             /dev/kgsl-3d0
7f3bda000-7f3bdc000 rw-s 00612000 00:12 2265                             /dev/kgsl-3d0
