[21038.024009] google_charger: usbchg=USB typec=C usbv=4884 usbc=488 usbMv=5000 usbMc=500
[21038.024093] sm8150_bms: MSC_PCS chg_state=1f4108403010015 [0x15:3:1:4228:500] chg=u
[21038.024099] google_battery: MSC_DIN chg_state=1f4108403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4228 icl=500
[21038.026829] google_battery: MSC_DSG vbatt_idx:2->1 vbatt=4225000 ibatt=86562 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[21038.026834] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:1->1, fv=4300000->4300000, cc_max=1975000
[21064.500340] swapout tgid 569 pid 569 name "Binder:569_2" vma 7fbcc97000
[21064.500440] swapout tgid 569 pid 569 name "Binder:569_2" vma 7fbce08000
[21064.500459] swapout tgid 569 pid 569 name "Binder:569_2" vma 7fbce09000
[21064.500472] swapout tgid 536 pid 536 name "ueventd" vma 7f82284000
[21064.500483] swapout tgid 819 pid 819 name "usb@1.2-service" vma 7fbd267000
[21064.500912] swapout tgid 819 pid 819 name "usb@1.2-service" vma 7fbd268000
[21064.501070] swapout tgid 819 pid 819 name "usb@1.2-service" vma 7fbb804000
[21064.501085] swapout tgid 536 pid 536 name "ueventd" vma 7f81a01000
[21064.501098] swapout tgid 536 pid 536 name "ueventd" vma 7f81a00000
[21064.501111] swapout tgid 819 pid 819 name "usb@1.2-service" vma 7fbba06000
[21064.501125] swapout tgid 536 pid 536 name "ueventd" vma 557aa38000
[21064.501132] swapout tgid 819 pid 819 name "usb@1.2-service" vma 7fbd205000
[21064.501306] swapout tgid 569 pid 569 name "Binder:569_2" vma 7fbccea000
[21064.501321] swapout tgid 785 pid 785 name "Binder:785_3" vma 7fbcc79000
[21064.501809] swapout tgid 569 pid 569 name "Binder:569_2" vma 7fbccff000
[21064.501828] swapout tgid 569 pid 569 name "Binder:569_2" vma 7fbc9e6000
[21064.501859] swapout tgid 569 pid 569 name "Binder:569_2" vma 7fbd8cb000
[21064.501867] swapout tgid 536 pid 536 name "ueventd" vma 7f824d6000
[21064.501872] swapout tgid 819 pid 819 name "usb@1.2-service" vma 7fbba02000
