72332000-72333000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72333000-72338000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72338000-72343000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72343000-72344000 rw-p 00000000 00:00 0                                  [anon:.bss]
72344000-72345000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
72345000-72346000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72346000-72347000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72347000-72349000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72349000-7234a000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
7234a000-7234b000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
7234b000-7234c000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
7234c000-724bb000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
724bb000-724bc000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
724bc000-724ea000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
724ea000-75b4d000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
75b4d000-7634c000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
7634c000-9634c000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
9634c000-9834c000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
9834c000-9a34c000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
9a34c000-9c34c000 rw-s 00000000 00:01 492713                             /memfd:/jit-cache (deleted)
9c34c000-9e34c000 r-xs 02000000 00:01 492713                             /memfd:/jit-cache (deleted)
9e34c000-9e55e000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/com.rovio.baba-I29X92BE5zNdsaQGKyg_HQ==/oat/arm64/base.art]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
7f0280000-7f0340000 rw-s 00e8a000 00:12 12027                            /dev/kgsl-3d0
7f034c000-7f034e000 rw-s 00e2e000 00:12 12027                            /dev/kgsl-3d0
7f0350000-7f0360000 rw-s 00e0b000 00:12 12027                            /dev/kgsl-3d0
7f0360000-7f0370000 rw-s 00e0a000 00:12 12027                            /dev/kgsl-3d0
7f0370000-7f0380000 rw-s 00e09000 00:12 12027                            /dev/kgsl-3d0
7f0380000-7f0390000 rw-s 00e08000 00:12 12027                            /dev/kgsl-3d0
7f0390000-7f03a0000 rw-s 00e07000 00:12 12027                            /dev/kgsl-3d0
7f03c2000-7f03c4000 rw-s 00e2c000 00:12 12027                            /dev/kgsl-3d0
7f03c4000-7f03c6000 rw-s 00e2b000 00:12 12027                            /dev/kgsl-3d0
7f03c6000-7f03c8000 rw-s 00e2a000 00:12 12027                            /dev/kgsl-3d0
7f03c8000-7f03ca000 rw-s 00e29000 00:12 12027                            /dev/kgsl-3d0
7f03ca000-7f03cc000 rw-s 00e28000 00:12 12027                            /dev/kgsl-3d0
7f03cc000-7f03ce000 rw-s 00e27000 00:12 12027                            /dev/kgsl-3d0
7f03ce000-7f03d0000 rw-s 00e26000 00:12 12027                            /dev/kgsl-3d0
7f03d0000-7f03e0000 rw-s 00e06000 00:12 12027                            /dev/kgsl-3d0
7f03e0000-7f03f0000 rw-s 00c42000 00:12 12027                            /dev/kgsl-3d0
7f03f0000-7f0400000 rw-s 00c34000 00:12 12027                            /dev/kgsl-3d0
7f0400000-7f0410000 rw-s 00c29000 00:12 12027                            /dev/kgsl-3d0
7f0410000-7f0420000 rw-s 00c0c000 00:12 12027                            /dev/kgsl-3d0
7f0422000-7f0424000 rw-s 00e25000 00:12 12027                            /dev/kgsl-3d0
7f0424000-7f0426000 rw-s 00e24000 00:12 12027                            /dev/kgsl-3d0
7f0426000-7f0428000 rw-s 00e23000 00:12 12027                            /dev/kgsl-3d0
7f0428000-7f042a000 rw-s 00e22000 00:12 12027                            /dev/kgsl-3d0
7f042a000-7f042c000 rw-s 00e21000 00:12 12027                            /dev/kgsl-3d0
7f042c000-7f043c000 rw-s 00e05000 00:12 12027                            /dev/kgsl-3d0
7f043c000-7f044c000 rw-s 00d92000 00:12 12027                            /dev/kgsl-3d0
7f044c000-7f045c000 rw-s 006c9000 00:12 12027                            /dev/kgsl-3d0
7f045c000-7f046c000 rw-s 00641000 00:12 12027                            /dev/kgsl-3d0
7f046c000-7f047c000 rw-s 00947000 00:12 12027                            /dev/kgsl-3d0
7f047c000-7f048c000 rw-s 00780000 00:12 12027                            /dev/kgsl-3d0
7f048c000-7f049c000 rw-s 00e04000 00:12 12027                            /dev/kgsl-3d0
7f049c000-7f04ac000 rw-s 00e03000 00:12 12027                            /dev/kgsl-3d0
7f04ac000-7f04ae000 rw-s 00e02000 00:12 12027                            /dev/kgsl-3d0
7f04ae000-7f04b0000 rw-s 00e01000 00:12 12027                            /dev/kgsl-3d0
7f04b0000-7f04b2000 rw-s 00e00000 00:12 12027                            /dev/kgsl-3d0
7f04b2000-7f04c2000 rw-s 00dff000 00:12 12027                            /dev/kgsl-3d0
7f04c2000-7f04c4000 rw-s 00dfe000 00:12 12027                            /dev/kgsl-3d0
7f04c4000-7f04d4000 rw-s 00dfd000 00:12 12027                            /dev/kgsl-3d0
7f04d4000-7f04d6000 rw-s 00dfc000 00:12 12027                            /dev/kgsl-3d0
7f04d6000-7f04d8000 rw-s 00dfb000 00:12 12027                            /dev/kgsl-3d0
7f04d8000-7f04da000 rw-s 00dfa000 00:12 12027                            /dev/kgsl-3d0
7f04e0000-7f04e2000 rw-s 00df6000 00:12 12027                            /dev/kgsl-3d0
7f04e2000-7f04e4000 rw-s 00df5000 00:12 12027                            /dev/kgsl-3d0
7f04e4000-7f04e6000 rw-s 00df4000 00:12 12027                            /dev/kgsl-3d0
7f04e6000-7f04f6000 rw-s 00df3000 00:12 12027                            /dev/kgsl-3d0
7f04f6000-7f0506000 rw-s 00df2000 00:12 12027                            /dev/kgsl-3d0
7f0506000-7f0508000 rw-s 00df1000 00:12 12027                            /dev/kgsl-3d0
7f0508000-7f050a000 rw-s 00df0000 00:12 12027                            /dev/kgsl-3d0
7f050a000-7f050c000 rw-s 00def000 00:12 12027                            /dev/kgsl-3d0
7f050c000-7f050e000 rw-s 00dee000 00:12 12027                            /dev/kgsl-3d0
7f050e000-7f0510000 rw-s 00ded000 00:12 12027                            /dev/kgsl-3d0
7f0510000-7f0512000 rw-s 00dec000 00:12 12027                            /dev/kgsl-3d0
7f0512000-7f0514000 rw-s 00deb000 00:12 12027                            /dev/kgsl-3d0
7f0514000-7f0516000 rw-s 00dea000 00:12 12027                            /dev/kgsl-3d0
7f0516000-7f0518000 rw-s 00de9000 00:12 12027                            /dev/kgsl-3d0
7f0518000-7f051a000 rw-s 00de8000 00:12 12027                            /dev/kgsl-3d0
7f051a000-7f052a000 rw-s 00de7000 00:12 12027                            /dev/kgsl-3d0
7f052a000-7f053a000 rw-s 00c30000 00:12 12027                            /dev/kgsl-3d0
7f053a000-7f053c000 rw-s 00de4000 00:12 12027                            /dev/kgsl-3d0
7f053e000-7f0540000 rw-s 00de2000 00:12 12027                            /dev/kgsl-3d0
7f0540000-7f0542000 rw-s 00de1000 00:12 12027                            /dev/kgsl-3d0
7f0542000-7f0544000 rw-s 00de0000 00:12 12027                            /dev/kgsl-3d0
7f0544000-7f0546000 rw-s 00ddf000 00:12 12027                            /dev/kgsl-3d0
7f0546000-7f0548000 rw-s 00dde000 00:12 12027                            /dev/kgsl-3d0
7f0548000-7f054a000 rw-s 00ddd000 00:12 12027                            /dev/kgsl-3d0
7f054a000-7f054c000 rw-s 00ddb000 00:12 12027                            /dev/kgsl-3d0
7f054c000-7f054e000 rw-s 00dda000 00:12 12027                            /dev/kgsl-3d0
7f0552000-7f0554000 rw-s 00dd7000 00:12 12027                            /dev/kgsl-3d0
7f0554000-7f0556000 rw-s 00dd6000 00:12 12027                            /dev/kgsl-3d0
7f055a000-7f055c000 rw-s 00dd3000 00:12 12027                            /dev/kgsl-3d0
7f055c000-7f055e000 rw-s 00dd2000 00:12 12027                            /dev/kgsl-3d0
7f055e000-7f0560000 rw-s 00dd1000 00:12 12027                            /dev/kgsl-3d0
7f0560000-7f0562000 rw-s 00dd0000 00:12 12027                            /dev/kgsl-3d0
7f0562000-7f0564000 rw-s 00dcf000 00:12 12027                            /dev/kgsl-3d0
7f0564000-7f0566000 rw-s 00dce000 00:12 12027                            /dev/kgsl-3d0
7f0566000-7f0568000 rw-s 00dcd000 00:12 12027                            /dev/kgsl-3d0
7f0568000-7f056a000 rw-s 00dcc000 00:12 12027                            /dev/kgsl-3d0
7f056a000-7f056c000 rw-s 00dcb000 00:12 12027                            /dev/kgsl-3d0
7f056c000-7f056e000 rw-s 00dca000 00:12 12027                            /dev/kgsl-3d0
7f056e000-7f0570000 rw-s 00dc9000 00:12 12027                            /dev/kgsl-3d0
7f0570000-7f0572000 rw-s 00dc8000 00:12 12027                            /dev/kgsl-3d0
7f0572000-7f0574000 rw-s 00dc7000 00:12 12027                            /dev/kgsl-3d0
7f0574000-7f0576000 rw-s 00dc6000 00:12 12027                            /dev/kgsl-3d0
7f0576000-7f0578000 rw-s 00dc5000 00:12 12027                            /dev/kgsl-3d0
7f0578000-7f057a000 rw-s 00dc4000 00:12 12027                            /dev/kgsl-3d0
7f057a000-7f057c000 rw-s 00dc3000 00:12 12027                            /dev/kgsl-3d0
7f0580000-7f0582000 rw-s 00dc0000 00:12 12027                            /dev/kgsl-3d0
7f0582000-7f0584000 rw-s 00dbf000 00:12 12027                            /dev/kgsl-3d0
7f0584000-7f0586000 rw-s 00dbe000 00:12 12027                            /dev/kgsl-3d0
7f0586000-7f0588000 rw-s 00dbd000 00:12 12027                            /dev/kgsl-3d0
7f0588000-7f058a000 rw-s 00dbc000 00:12 12027                            /dev/kgsl-3d0
7f058a000-7f058c000 rw-s 00dbb000 00:12 12027                            /dev/kgsl-3d0
7f058c000-7f058e000 rw-s 00dba000 00:12 12027                            /dev/kgsl-3d0
7f058e000-7f0590000 rw-s 00db9000 00:12 12027                            /dev/kgsl-3d0
7f0590000-7f05b0000 rw-s 005b1000 00:12 12027                            /dev/kgsl-3d0
7f05b6000-7f05be000 rw-s 00d99000 00:12 12027                            /dev/kgsl-3d0
