718e7000-718f2000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
718f2000-718f3000 rw-p 00000000 00:00 0                                  [anon:.bss]
718f3000-718f4000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
718f4000-718f5000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
718f5000-718f6000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
718f6000-718f8000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
718f8000-718f9000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
718f9000-718fa000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
718fa000-718fb000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
718fb000-71a6a000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
71a6a000-71a6b000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
71a6b000-71adf000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
71adf000-750fc000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
750fc000-758fb000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
758fb000-958fb000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
958fb000-978fb000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
978fb000-998fb000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
998fb000-9b8fb000 rw-s 00000000 00:01 320868                             /memfd:/jit-cache (deleted)
9b8fb000-9d8fb000 r-xs 02000000 00:01 320868                             /memfd:/jit-cache (deleted)
9d8fb000-9e686000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/com.instagram.android-J1AUTiM8xAqG02LHuGn26g==/oat/arm64/base.art]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
7f6a20000-7f6f60000 rw-s 000b6000 00:12 17466                            /dev/kgsl-3d0
7f6f60000-7f73f0000 rw-s 0001a000 00:12 17466                            /dev/kgsl-3d0
7fbf07000-7fbf08000 rw-s 001a0000 00:12 17466                            /dev/kgsl-3d0
7fbf08000-7fbf09000 rw-s 0019f000 00:12 17466                            /dev/kgsl-3d0
7fbf09000-7fbf0a000 rw-s 0019e000 00:12 17466                            /dev/kgsl-3d0
7fbf0a000-7fbf0b000 rw-s 0019d000 00:12 17466                            /dev/kgsl-3d0
7fbf0b000-7fbf0c000 rw-s 0019c000 00:12 17466                            /dev/kgsl-3d0
7fbf0c000-7fbf0d000 rw-s 0019b000 00:12 17466                            /dev/kgsl-3d0
7fc06d000-7fc06e000 rw-s 00197000 00:12 17466                            /dev/kgsl-3d0
7fc06e000-7fc06f000 rw-s 00196000 00:12 17466                            /dev/kgsl-3d0
7fc06f000-7fc070000 rw-s 00195000 00:12 17466                            /dev/kgsl-3d0
7fc581000-7fc582000 rw-s 00194000 00:12 17466                            /dev/kgsl-3d0
7fc582000-7fc583000 rw-s 00193000 00:12 17466                            /dev/kgsl-3d0
7fc583000-7fc584000 rw-s 00192000 00:12 17466                            /dev/kgsl-3d0
7fc58e000-7fc58f000 rw-s 0015f000 00:12 17466                            /dev/kgsl-3d0
7fc58f000-7fc590000 rw-s 0015e000 00:12 17466                            /dev/kgsl-3d0
7fc590000-7fc591000 rw-s 0015d000 00:12 17466                            /dev/kgsl-3d0
7fc591000-7fc592000 rw-s 0015c000 00:12 17466                            /dev/kgsl-3d0
7fc592000-7fc593000 rw-s 0015b000 00:12 17466                            /dev/kgsl-3d0
7fc593000-7fc594000 rw-s 0015a000 00:12 17466                            /dev/kgsl-3d0
7fc594000-7fc595000 rw-s 00159000 00:12 17466                            /dev/kgsl-3d0
7fc595000-7fc596000 rw-s 00158000 00:12 17466                            /dev/kgsl-3d0
7fc596000-7fc597000 rw-s 00157000 00:12 17466                            /dev/kgsl-3d0
7fc597000-7fc598000 rw-s 00156000 00:12 17466                            /dev/kgsl-3d0
7fc598000-7fc599000 rw-s 00155000 00:12 17466                            /dev/kgsl-3d0
