[13805.138366] healthd: battery l=100 v=4392 t=32.2 h=2 st=5 c=-149 fc=2889000 cc=7 chg=u
[13805.301322] before: swapin tgid 16093 pid 16119 name "pool-3-thread-1" vma 7eca9dd000
[13805.301337] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e183000
[13805.301360] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9df3a000
[13805.301365] before: swapin tgid 16093 pid 16119 name "pool-3-thread-1" vma 7f28b8b000
[13805.301382] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e07b000
[13805.301385] before: swapin tgid 16093 pid 16119 name "pool-3-thread-1" vma 7eca9de000
[13805.301414] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 15cd2000
[13805.301473] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9db94000
[13805.301489] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e804d4000
[13805.301496] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9db58000
[13805.301518] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9d8fc000
[13805.301538] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7eaece1000
[13805.301552] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e804d5000
[13805.301572] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e804d2000
[13805.301612] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 9da9f000
[13805.301810] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28d7a000
[13805.301838] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28d7b000
[13805.301855] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28d78000
[13805.301877] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9db39000
[13805.301914] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e11e000
[13805.301939] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 153b1000
[13805.301962] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6f85d000
[13805.303937] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dba9000
[13805.304061] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e185000
[13805.304068] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e17c000
[13805.304087] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9da9d000
[13805.304112] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9d924000
[13805.304132] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e159000
[13805.304186] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e16d000
[13805.304353] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e059000
[13805.304382] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dd2b000
[13805.304395] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7f234bb000
[13805.304407] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dd41000
[13805.304430] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9daa0000
[13805.304437] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 9db5d000
[13805.304451] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e2b5000
[13805.304466] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e81766000
[13805.304468] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e079000
[13805.304488] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e81767000
[13805.304506] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dd2c000
[13805.304549] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7f2dbd1000
[13805.304562] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 701e0000
[13805.304573] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7f2dbc2000
[13805.304591] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e804d3000
