[19447.880422] google_charger: usbchg=USB typec=C usbv=4923 usbc=394 usbMv=5000 usbMc=500
[19457.805603] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ec0331000
[19457.805687] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 714ca000
[19457.805739] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716cd000
[19457.805795] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71584000
[19457.805827] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71859000
[19457.805862] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71853000
[19457.805887] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 715f3000
[19457.805962] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71854000
[19457.805995] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71855000
[19457.806052] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71726000
[19457.806073] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71631000
[19457.806082] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71478000
[19457.806395] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 13509000
[19457.815732] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edfa000
[19457.816484] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edfc000
[19457.818165] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 13142000
[19457.818186] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 134ed000
[19457.818579] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed2c1e000
[19457.818605] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ed2c1c000
[19457.818624] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 70d5c000
[19457.818661] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 134ee000
[19457.818685] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71724000
[19457.818713] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbb6de000
[19457.818728] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbf5e3000
[19457.818738] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbb6e0000
[19457.818744] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe193000
[19457.818750] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7fbe239000
[19457.818759] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7f2e267000
[19457.818844] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9eceb000
[19457.818858] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9eda8000
[19457.818867] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9edbc000
