[ 6795.703682] foreground_evict = 181780
[ 6795.703687] background_evict = 2066116
[ 6795.703688] foreground_refault = 29509
[ 6795.703689] background_refault = 279790
[ 6795.703690] foreground_fault = 81785
[ 6801.764947] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4394d000
[ 6801.764964] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e5b63f000
[ 6801.764977] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e5b644000
[ 6801.765658] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e6f63e000
[ 6801.775207] after: swapin tgid 16093 pid 16093 name "stagram.android" vma 7e7efda000
[ 6801.777577] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7f2d7a0000
[ 6801.777621] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7f2d79f000
[ 6801.777639] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c1d8000
[ 6801.777655] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c1d9000
[ 6801.777692] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e733ae000
[ 6801.777720] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e6b7e7000
[ 6801.777733] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c01a000
[ 6801.777748] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c27e000
[ 6801.777825] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e7f116000
[ 6801.777855] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e7f126000
[ 6801.788421] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e7e1c1000
[ 6801.788468] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e73a88000
[ 6801.788582] after: swapin tgid 16093 pid 16273 name "hwuiTask0" vma 7f2d699000
[ 6801.810075] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e42d43000
[ 6801.811053] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e6815d000
[ 6801.811101] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e9f4ce000
[ 6801.811353] after: swapin tgid 16093 pid 16131 name "SIMPLE_WORKER4" vma 7e6f5c4000
[ 6801.814559] after: swapin tgid 16093 pid 16164 name "Thread-12" vma 7e614e4000
[ 6801.814596] after: swapin tgid 16093 pid 16164 name "Thread-12" vma 7e614e3000
[ 6801.814608] after: swapin tgid 16093 pid 16164 name "Thread-12" vma 7e614e5000
[ 6801.822548] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e4c121000
[ 6801.834602] after: swapin tgid 16093 pid 16202 name "iga2_mb" vma 7eaed7f000
[ 6801.843991] after: swapin tgid 16093 pid 16275 name "Image Decoding" vma 7e7e42b000
[ 6801.854630] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e9f898000
[ 6801.856765] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e9f897000
[ 6801.878889] after: swapin tgid 16093 pid 16188 name "ackgroundLooper" vma 7f2d739000
[ 6802.157927] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7f2d6ea000
[ 6802.158007] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7e9f47c000
[ 6802.267896] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7fbcfd2000
[ 6802.292788] after: swapin tgid 16093 pid 16244 name "RenderThread" vma 7f2d6a3000
[ 6802.338583] after: swapin tgid 16093 pid 16457 name "UploadJobHandle" vma 7eaeb3b000
