[ 6383.991910] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bff000
[ 6383.997411] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2ce000
[ 6384.002191] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ed2b23000
[ 6384.002254] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2cf000
[ 6384.002282] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70420000
[ 6384.002295] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bfd000
[ 6384.002308] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7eca3dd000
[ 6384.002334] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28a7d000
[ 6384.002343] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28fcb000
[ 6384.002352] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ea53ae000
[ 6384.002427] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e28a000
[ 6384.002440] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1c3000
[ 6384.002447] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e27c000
[ 6384.002453] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1be000
[ 6384.002459] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e284000
[ 6384.002465] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bfc000
[ 6384.002587] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70a6d000
[ 6384.002610] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70bb6000
[ 6384.002617] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 709be000
[ 6384.007064] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7023b000
[ 6384.008664] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2d5000
[ 6384.008686] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2d3000
[ 6384.010433] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ed2b24000
[ 6384.012765] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20cab000
[ 6384.012785] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20cae000
[ 6384.013630] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28b28000
[ 6384.013646] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28fce000
[ 6384.013708] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e282000
[ 6384.015035] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e285000
[ 6384.015071] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fbf6fb000
[ 6384.015084] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70c0c000
[ 6384.015104] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70c1c000
[ 6384.015162] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398af000
[ 6384.015175] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f39834000
[ 6384.015184] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f3989d000
[ 6384.015195] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398ac000
[ 6384.015202] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398ab000
