[11626.118230] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398ab000
[11626.118238] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398e0000
[11626.118248] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398a2000
[11626.118256] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f398de000
[11626.118329] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fbe1f2000
[11626.118350] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d3b000
[11626.118359] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d3a000
[11626.122951] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1cc000
[11626.124244] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e26f000
[11626.124259] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1c2000
[11626.124287] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e27f000
[11626.125042] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e26e000
[11626.125102] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1fd000
[11626.125124] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70d3c000
[11626.125141] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f28b59000
[11626.125176] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28edf000
[11626.125216] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ed127b000
[11626.125247] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ed1277000
[11626.125276] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 9e1c8000
[11626.125296] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 9e275000
[11626.125812] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e27d000
[11626.126930] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4ac2000
[11626.126944] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4a67000
[11626.128103] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7fffff9000
[11626.129314] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e2cd000
[11626.129915] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28f7a000
[11626.130927] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca66a000
[11626.130936] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca5e7000
[11626.130942] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4973000
[11626.131612] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca66b000
[11626.131624] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4969000
[11626.132311] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4ab4000
[11626.132738] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7021d000
[11626.132783] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 700cb000
[11626.132840] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f29992000
[11626.132863] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f2998f000
[11626.132871] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4a97000
[11626.132880] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4a99000
[11626.132887] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ec4bba000
[11626.132888] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f289cf000
[11626.132925] before: swapin tgid 9444 pid 10026 name "pool-12-thread-" vma 7f29990000
