[14862.378422] foreground_evict = 0
[14862.378426] background_evict = 0
[14862.378428] foreground_refault = 0
[14862.378429] background_refault = 0
[14862.378430] foreground_fault = 0
[14862.378431] background_fault = 0
[14868.748054] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e6adeb000
[14868.748072] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7fbe1a6000
[14868.748094] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e40be7000
[14868.748107] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e41251000
[14868.748120] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7eaa0f1000
[14868.748131] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e5e8c5000
[14868.748146] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e40e80000
[14868.748171] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e40bfa000
[14868.748187] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7fbe1a7000
[14868.748207] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e41241000
[14868.748224] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e76ffc000
[14868.748248] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e7c8f6000
[14868.748264] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e40bee000
[14868.748317] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e76d6f000
[14868.748343] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e76ad5000
[14868.758984] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e6ae1d000
[14868.803360] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e980d3000
[14868.803428] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e7055e000
[14868.812102] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7e4088d000
[14868.839175] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 140f7000
[14868.840003] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 140b4000
[14868.845210] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7e981cb000
[14868.845264] after: swapin tgid 15838 pid 15838 name "stagram.android" vma 7e7cd77000
[14868.868804] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e9807b000
[14868.868848] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e9807c000
[14868.869010] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7ea9e75000
[14868.869029] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7ea9e74000
[14868.869042] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e99881000
[14868.869091] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7fbc5a2000
[14868.869113] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7fbc5a1000
[14868.869130] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e76dc8000
[14868.869147] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e7668e000
[14868.869198] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e9804e000
[14868.869241] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e76dcc000
[14868.869260] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e70683000
[14868.869289] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e54188000
[14868.869312] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e6adaa000
[14868.869508] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e9807d000
[14868.870488] after: swapin tgid 15838 pid 24233 name "HeroServicePlay" vma 6fe4e000
[14868.870558] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7ec63c6000
[14868.870594] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7ec63fa000
[14868.870622] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e9a18a000
[14868.870654] after: swapin tgid 15838 pid 24233 name "HeroServicePlay" vma 7f2c205000
[14868.870668] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e70520000
[14868.870729] after: swapin tgid 15838 pid 15967 name "HeroManagerBack" vma 7e7c99c000
[14868.872299] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e9a027000
[14868.872328] after: swapin tgid 15838 pid 24234 name "ExoPlayerImplIn" vma 7e9a028000
[14868.872630] after: swapin tgid 15838 pid 24235 name "Loader:Extracto" vma 9e211000
[14868.873276] after: swapin tgid 15838 pid 16023 name "LocalSocketVide" vma 7e6d0ab000
[14868.873299] after: swapin tgid 15838 pid 16023 name "LocalSocketVide" vma 7e705f6000
[14868.873314] after: swapin tgid 15838 pid 16023 name "LocalSocketVide" vma 7e7083d000
[14868.873510] after: swapin tgid 15838 pid 24235 name "Loader:Extracto" vma 6ffe7000
[14868.893320] after: swapin tgid 15838 pid 13608 name "IgExecutorV2 #2" vma 9e21e000
[14868.893838] after: swapin tgid 15838 pid 24235 name "Loader:Extracto" vma 7e9a254000
[14868.902811] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e6ac5f000
[14868.904585] after: swapin tgid 15838 pid 24235 name "Loader:Extracto" vma 7f2c238000
[14868.904610] after: swapin tgid 15838 pid 24235 name "Loader:Extracto" vma 7f2c239000
[14868.904645] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e6acc3000
