72d8a000-72d8b000 rw-p 00004000 fd:00 1367                               /system/framework/arm64/boot-voip-common.oat
72d8b000-72d90000 r--p 00000000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72d90000-72d9b000 r-xp 00005000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72d9b000-72d9c000 rw-p 00000000 00:00 0                                  [anon:.bss]
72d9c000-72d9d000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
72d9d000-72d9e000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72d9e000-72d9f000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
72d9f000-72da1000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72da1000-72da2000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
72da2000-72da3000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72da3000-72da4000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
72da4000-72f13000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
72f13000-72f14000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72f14000-72f29000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
72f29000-765a5000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
765a5000-76da4000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
76da4000-96da4000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
96da4000-98da4000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
98da4000-9ada4000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
9ada4000-9cda4000 rw-s 00000000 00:01 123699                             /memfd:/jit-cache (deleted)
9cda4000-9eda4000 r-xs 02000000 00:01 123699                             /memfd:/jit-cache (deleted)
9eda4000-9efac000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/com.rovio.baba-I29X92BE5zNdsaQGKyg_HQ==/oat/arm64/base.art]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
7f3e40000-7f3f00000 rw-s 00716000 00:12 21152                            /dev/kgsl-3d0
7f4000000-7f4020000 rw-s 006f1000 00:12 21152                            /dev/kgsl-3d0
7f4023000-7f4025000 rw-s 006f3000 00:12 21152                            /dev/kgsl-3d0
7f4025000-7f4027000 rw-s 006f2000 00:12 21152                            /dev/kgsl-3d0
7f4027000-7f4029000 rw-s 006f0000 00:12 21152                            /dev/kgsl-3d0
7f4029000-7f402b000 rw-s 006ef000 00:12 21152                            /dev/kgsl-3d0
7f402b000-7f402d000 rw-s 006ee000 00:12 21152                            /dev/kgsl-3d0
7f402d000-7f402f000 rw-s 006ed000 00:12 21152                            /dev/kgsl-3d0
7f402f000-7f4031000 rw-s 006ec000 00:12 21152                            /dev/kgsl-3d0
7f4031000-7f4033000 rw-s 006eb000 00:12 21152                            /dev/kgsl-3d0
7f4033000-7f4035000 rw-s 006ea000 00:12 21152                            /dev/kgsl-3d0
7f4035000-7f4037000 rw-s 006e9000 00:12 21152                            /dev/kgsl-3d0
7f4037000-7f4039000 rw-s 006e8000 00:12 21152                            /dev/kgsl-3d0
7f4039000-7f403b000 rw-s 006e7000 00:12 21152                            /dev/kgsl-3d0
7f403b000-7f403d000 rw-s 006e6000 00:12 21152                            /dev/kgsl-3d0
7f403d000-7f403f000 rw-s 006e5000 00:12 21152                            /dev/kgsl-3d0
7f403f000-7f4041000 rw-s 006e4000 00:12 21152                            /dev/kgsl-3d0
7f4041000-7f4043000 rw-s 006e3000 00:12 21152                            /dev/kgsl-3d0
7f4043000-7f4045000 rw-s 006e2000 00:12 21152                            /dev/kgsl-3d0
7f4045000-7f4047000 rw-s 006e1000 00:12 21152                            /dev/kgsl-3d0
7f4047000-7f4049000 rw-s 006e0000 00:12 21152                            /dev/kgsl-3d0
7f4049000-7f404b000 rw-s 006df000 00:12 21152                            /dev/kgsl-3d0
7f404b000-7f404d000 rw-s 006de000 00:12 21152                            /dev/kgsl-3d0
7f404d000-7f404f000 rw-s 006dd000 00:12 21152                            /dev/kgsl-3d0
7f404f000-7f4051000 rw-s 006dc000 00:12 21152                            /dev/kgsl-3d0
7f4051000-7f4053000 rw-s 006db000 00:12 21152                            /dev/kgsl-3d0
7f4053000-7f4055000 rw-s 006da000 00:12 21152                            /dev/kgsl-3d0
7f4055000-7f4057000 rw-s 006d9000 00:12 21152                            /dev/kgsl-3d0
7f4057000-7f4059000 rw-s 006d8000 00:12 21152                            /dev/kgsl-3d0
7f4059000-7f405b000 rw-s 006d7000 00:12 21152                            /dev/kgsl-3d0
7f405b000-7f405d000 rw-s 006d6000 00:12 21152                            /dev/kgsl-3d0
7f405d000-7f405f000 rw-s 006d5000 00:12 21152                            /dev/kgsl-3d0
7f405f000-7f4061000 rw-s 006d4000 00:12 21152                            /dev/kgsl-3d0
7f4061000-7f4063000 rw-s 006d3000 00:12 21152                            /dev/kgsl-3d0
7f4063000-7f4065000 rw-s 006d2000 00:12 21152                            /dev/kgsl-3d0
7f4065000-7f4067000 rw-s 006d1000 00:12 21152                            /dev/kgsl-3d0
7f4067000-7f4069000 rw-s 006d0000 00:12 21152                            /dev/kgsl-3d0
7f4069000-7f406b000 rw-s 006cf000 00:12 21152                            /dev/kgsl-3d0
7f406b000-7f406d000 rw-s 006ce000 00:12 21152                            /dev/kgsl-3d0
7f406d000-7f406f000 rw-s 006cd000 00:12 21152                            /dev/kgsl-3d0
7f406f000-7f4071000 rw-s 006cc000 00:12 21152                            /dev/kgsl-3d0
7f4071000-7f4073000 rw-s 006cb000 00:12 21152                            /dev/kgsl-3d0
7f4073000-7f4075000 rw-s 006ca000 00:12 21152                            /dev/kgsl-3d0
7f4075000-7f4077000 rw-s 006c9000 00:12 21152                            /dev/kgsl-3d0
7f4077000-7f4079000 rw-s 006c8000 00:12 21152                            /dev/kgsl-3d0
7f4079000-7f407b000 rw-s 006c7000 00:12 21152                            /dev/kgsl-3d0
7f407b000-7f407d000 rw-s 006c6000 00:12 21152                            /dev/kgsl-3d0
7f407d000-7f407f000 rw-s 006c5000 00:12 21152                            /dev/kgsl-3d0
7f407f000-7f4081000 rw-s 006c4000 00:12 21152                            /dev/kgsl-3d0
7f4081000-7f4083000 rw-s 006c3000 00:12 21152                            /dev/kgsl-3d0
7f4083000-7f4085000 rw-s 006c2000 00:12 21152                            /dev/kgsl-3d0
