# tracer: nop
#
# entries-in-buffer/entries-written: 12131/12131   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-29644 [007] ....  6929.206312: app_switch_start_handler: ###########switch start! foreground 0#############
     kworker/0:1-29477 [000] ....  6929.399825: cold_page_sender_work: remote: total sent cold page: 5885
     kworker/0:1-29477 [000] ....  6929.399832: cold_page_sender_work: remote: total faulted cold page: 19
           <...>-4846  [000] ....  7270.034032: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f047000 692f7
           <...>-4846  [000] ....  7270.036753: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99098000 912c4
           <...>-4846  [000] ....  7270.040003: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9909b000 912c6
           <...>-4846  [000] ....  7270.043182: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99087000 912b5
           <...>-4846  [000] ....  7270.046140: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f09d000 6d23b
           <...>-4846  [000] ....  7270.049629: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f069000 6d209
           <...>-4846  [000] ....  7270.052549: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f06a000 6d20a
           <...>-4846  [000] ....  7270.055776: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f04e000 692fb
           <...>-4846  [000] ....  7270.058475: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f068000 6d208
           <...>-4846  [000] ....  7270.061613: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f06c000 6d20c
           <...>-4846  [000] ....  7270.064647: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f06d000 6d20d
           <...>-4846  [000] ....  7270.068153: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f06b000 6d20b
           <...>-4846  [000] ....  7270.071004: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f06e000 6d20e
           <...>-4846  [000] ....  7270.073731: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f06f000 6d20f
           <...>-4846  [000] ....  7270.077488: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99020000 9128d
           <...>-4846  [000] ....  7270.080733: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99021000 9128e
