# tracer: nop
#
# entries-in-buffer/entries-written: 8412/8412   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-15220 [007] ....  2698.945231: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-201   [003] ...1  3121.392532: send_zram_to_nbd: target sent: 607 7fbd001000 1525b
 send_target_man-201   [003] ...1  3121.394829: send_zram_to_nbd: target sent: 607 7fbd000000 192ca
 send_target_man-201   [003] ...1  3121.396962: send_zram_to_nbd: target sent: 607 7fbd011000 192cb
 send_target_man-201   [000] ...1  3121.399223: send_zram_to_nbd: target sent: 607 7fffffe000 192cc
 send_target_man-201   [000] ...1  3121.401362: send_zram_to_nbd: target sent: 607 7fffffa000 1525c
 send_target_man-201   [000] ...1  3121.403460: send_zram_to_nbd: target sent: 607 7fbd00a000 1525d
 send_target_man-201   [001] ...1  3121.410137: send_zram_to_nbd: target sent: 607 7fffffb000 1525e
 send_target_man-201   [001] ...1  3121.417376: send_zram_to_nbd: target sent: 607 7fffffc000 52f2
 send_target_man-201   [001] ...1  3121.419326: send_zram_to_nbd: target sent: 607 7fffffd000 52f3
 send_target_man-201   [001] ...1  3121.421611: send_zram_to_nbd: target sent: 607 7fbdbf1000 52f4
 send_target_man-201   [001] ...1  3121.423781: send_zram_to_nbd: target sent: 607 7fbd005000 52f5
 send_target_man-201   [001] ...1  3121.425968: send_zram_to_nbd: target sent: 607 7fbd90b000 52f6
 send_target_man-201   [001] ...1  3121.428350: send_zram_to_nbd: target sent: 607 7fbd012000 52f7
 send_target_man-201   [001] ...1  3121.430514: send_zram_to_nbd: target sent: 607 7fffff6000 52f8
 send_target_man-201   [001] ...1  3121.432660: send_zram_to_nbd: target sent: 607 7fffff7000 52f9
 send_target_man-201   [001] ...1  3121.434884: send_zram_to_nbd: target sent: 607 7fffff8000 52fa
 send_target_man-201   [001] ...1  3121.437040: send_zram_to_nbd: target sent: 607 7fffff9000 52fb
 send_target_man-201   [001] ...1  3121.439175: send_zram_to_nbd: target sent: 607 7fbcde8000 52fc
 send_target_man-201   [001] ...1  3121.441463: send_zram_to_nbd: target sent: 607 7fbd200000 52fd
 send_target_man-201   [001] ...1  3121.443996: send_zram_to_nbd: target sent: 607 7fbd03a000 52fe
 send_target_man-201   [001] ...1  3121.446459: send_zram_to_nbd: target sent: 607 7fbd027000 52ff
 send_target_man-201   [001] ...1  3121.448861: send_zram_to_nbd: target sent: 602 7fba701000 21200
 send_target_man-201   [001] ...1  3121.451390: send_zram_to_nbd: target sent: 602 7fba7c6000 21201
 send_target_man-201   [001] ...1  3121.453703: send_zram_to_nbd: target sent: 602 7fba7c7000 21202
 send_target_man-201   [001] ...1  3121.455884: send_zram_to_nbd: target sent: 602 7fba7c8000 21203
 send_target_man-201   [001] ...1  3121.458362: send_zram_to_nbd: target sent: 602 7fbe1f8000 21204
 send_target_man-201   [001] d..2  3131.572896: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [001] d..2  3141.599647: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  3151.626632: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  3161.652817: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  3171.679834: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  3181.706232: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [002] d..2  3191.733322: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [002] d..2  3201.759492: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [000] ...1  3201.773999: send_zram_to_nbd: target sent: 817 7fbcfb5000 112d1
 send_target_man-201   [000] ...1  3201.776324: send_zram_to_nbd: target sent: 817 7fbcfbb000 1525f
 send_target_man-201   [000] ...1  3201.778645: send_zram_to_nbd: target sent: 817 7fbc644000 15260
 send_target_man-201   [000] ...1  3201.780840: send_zram_to_nbd: target sent: 817 7fbc706000 15261
 send_target_man-201   [003] ...1  3201.783635: send_zram_to_nbd: target sent: 817 7fbd3da000 15262
 send_target_man-201   [000] ...1  3201.785799: send_zram_to_nbd: target sent: 817 7fbd845000 192cd
 send_target_man-201   [001] ...1  3201.788934: send_zram_to_nbd: target sent: 817 7fbd644000 15263
 send_target_man-201   [003] ...1  3201.791775: send_zram_to_nbd: target sent: 817 7fbc612000 21205
 send_target_man-201   [003] ...1  3201.794162: send_zram_to_nbd: target sent: 817 7fbc613000 192ce
 send_target_man-201   [003] ...1  3201.796507: send_zram_to_nbd: target sent: 817 7fbc804000 192cf
 send_target_man-201   [003] ...1  3201.798672: send_zram_to_nbd: target sent: 817 7fb8800000 192d0
 send_target_man-201   [003] ...1  3201.800796: send_zram_to_nbd: target sent: 817 7fbc802000 192d1
 send_target_man-201   [003] ...1  3201.802820: send_zram_to_nbd: target sent: 817 7fbc629000 192d2
 send_target_man-201   [003] ...1  3201.820973: send_zram_to_nbd: target sent: 817 7fbc803000 192d3
 send_target_man-201   [003] ...1  3201.823599: send_zram_to_nbd: target sent: 817 7fbd84d000 192d4
 send_target_man-201   [003] ...1  3201.825845: send_zram_to_nbd: target sent: 817 7fbd84f000 192d5
 send_target_man-201   [003] ...1  3201.827948: send_zram_to_nbd: target sent: 817 7fbc3e4000 192d6
 send_target_man-201   [003] ...1  3201.831269: send_zram_to_nbd: target sent: 817 7fbc808000 192d7
 send_target_man-201   [003] ...1  3201.833367: send_zram_to_nbd: target sent: 817 7fbc65b000 192d8
 send_target_man-201   [003] ...1  3201.835474: send_zram_to_nbd: target sent: 817 7fbc614000 192d9
 send_target_man-201   [003] ...1  3201.837497: send_zram_to_nbd: target sent: 817 7fbd84e000 192da
 send_target_man-201   [003] ...1  3201.839846: send_zram_to_nbd: target sent: 817 7fb8802000 192db
 send_target_man-201   [003] ...1  3201.842071: send_zram_to_nbd: target sent: 817 7fbc67e000 192dc
 send_target_man-201   [003] ...1  3201.844179: send_zram_to_nbd: target sent: 817 7fb8806000 192dd
 send_target_man-201   [003] ...1  3201.846452: send_zram_to_nbd: target sent: 817 7fb8803000 192de
 send_target_man-201   [003] ...1  3201.848773: send_zram_to_nbd: target sent: 817 7fb8804000 192df
 send_target_man-201   [003] ...1  3201.850843: send_zram_to_nbd: target sent: 817 7fb8808000 192e0
 send_target_man-201   [002] ...1  3201.853433: send_zram_to_nbd: target sent: 817 7fbc3c4000 192e1
 send_target_man-201   [001] ...1  3201.855832: send_zram_to_nbd: target sent: 817 7fbd852000 112d2
 send_target_man-201   [001] ...1  3201.858099: send_zram_to_nbd: target sent: 817 7fb8807000 21206
 send_target_man-201   [001] ...1  3201.860311: send_zram_to_nbd: target sent: 817 7fb8629000 21207
 send_target_man-201   [001] ...1  3201.862593: send_zram_to_nbd: target sent: 817 7fb8633000 21208
 send_target_man-201   [000] d..2  3211.999529: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] d..2  3222.026476: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [000] ...1  3222.046932: send_zram_to_nbd: target sent: 837 7fbd80c000 192e2
 send_target_man-201   [000] ...1  3222.049277: send_zram_to_nbd: target sent: 837 7fbe420000 15264
 send_target_man-201   [000] ...1  3222.051651: send_zram_to_nbd: target sent: 837 7ffffff000 15265
 send_target_man-201   [000] ...1  3222.053866: send_zram_to_nbd: target sent: 837 7fbdf67000 15266
 send_target_man-201   [000] ...1  3222.055977: send_zram_to_nbd: target sent: 837 7fbd80a000 15267
 send_target_man-201   [000] ...1  3222.058148: send_zram_to_nbd: target sent: 837 7fbd80b000 15268
 send_target_man-201   [000] ...1  3222.060042: send_zram_to_nbd: target sent: 837 7fffffe000 15269
 send_target_man-201   [000] ...1  3222.062734: send_zram_to_nbd: target sent: 837 7fbdf63000 1526a
 send_target_man-201   [000] ...1  3222.064607: send_zram_to_nbd: target sent: 837 7fbdf64000 1526b
 send_target_man-201   [000] ...1  3222.066843: send_zram_to_nbd: target sent: 837 7fbd801000 1526c
 send_target_man-201   [000] ...1  3222.068926: send_zram_to_nbd: target sent: 837 7fbd800000 1526d
 send_target_man-201   [000] ...1  3222.071546: send_zram_to_nbd: target sent: 837 7fbd807000 1526e
 send_target_man-201   [000] ...1  3222.073630: send_zram_to_nbd: target sent: 837 555555a000 1526f
 send_target_man-201   [000] ...1  3222.075772: send_zram_to_nbd: target sent: 837 7fbd811000 15270
 send_target_man-201   [000] ...1  3222.077736: send_zram_to_nbd: target sent: 837 7fbd813000 15271
 send_target_man-201   [000] ...1  3222.079979: send_zram_to_nbd: target sent: 837 7fbd806000 15272
 send_target_man-201   [000] ...1  3222.082099: send_zram_to_nbd: target sent: 837 7fbd812000 15273
 send_target_man-201   [000] ...1  3222.084206: send_zram_to_nbd: target sent: 837 7fbd5ec000 15274
 send_target_man-201   [000] ...1  3222.086409: send_zram_to_nbd: target sent: 837 7fbda00000 15275
 send_target_man-201   [000] ...1  3222.088600: send_zram_to_nbd: target sent: 840 5555587000 15276
 send_target_man-201   [000] ...1  3222.090681: send_zram_to_nbd: target sent: 840 7fbe420000 15277
 send_target_man-201   [000] ...1  3222.092895: send_zram_to_nbd: target sent: 840 7ffffff000 15278
 send_target_man-201   [000] ...1  3222.094972: send_zram_to_nbd: target sent: 840 5555588000 15279
 send_target_man-201   [000] ...1  3222.097114: send_zram_to_nbd: target sent: 840 5555589000 1527a
 send_target_man-201   [000] ...1  3222.099161: send_zram_to_nbd: target sent: 840 5555586000 1527b
 send_target_man-201   [000] ...1  3222.101486: send_zram_to_nbd: target sent: 840 5555576000 1527c
 send_target_man-201   [000] ...1  3222.103628: send_zram_to_nbd: target sent: 842 7fbcbfb000 1527d
 send_target_man-201   [000] ...1  3222.106249: send_zram_to_nbd: target sent: 842 7fbcbfc000 1527e
 send_target_man-201   [000] ...1  3222.108323: send_zram_to_nbd: target sent: 842 7fbe11e000 1527f
 send_target_man-201   [000] ...1  3222.110656: send_zram_to_nbd: target sent: 842 7fbb600000 15280
 send_target_man-201   [000] ...1  3222.112933: send_zram_to_nbd: target sent: 842 7fbb605000 15281
 send_target_man-201   [000] ...1  3222.115030: send_zram_to_nbd: target sent: 842 7fbb606000 15282
 send_target_man-201   [000] ...1  3222.117182: send_zram_to_nbd: target sent: 842 7fbb607000 15283
 send_target_man-201   [000] ...1  3222.119226: send_zram_to_nbd: target sent: 842 7fbde48000 15284
 send_target_man-201   [000] ...1  3222.121441: send_zram_to_nbd: target sent: 842 7fbde44000 15285
 send_target_man-201   [000] ...1  3222.123521: send_zram_to_nbd: target sent: 842 7fbde45000 15286
 send_target_man-201   [000] ...1  3222.125609: send_zram_to_nbd: target sent: 842 7fbd04e000 15287
 send_target_man-201   [000] ...1  3222.127647: send_zram_to_nbd: target sent: 842 7fbd04f000 15288
 send_target_man-201   [000] ...1  3222.129701: send_zram_to_nbd: target sent: 842 7fbb60a000 15289
 send_target_man-201   [000] ...1  3222.131790: send_zram_to_nbd: target sent: 842 7fbb614000 1528a
 send_target_man-201   [000] ...1  3222.134400: send_zram_to_nbd: target sent: 842 7fbcddb000 1528b
 send_target_man-201   [000] ...1  3222.136493: send_zram_to_nbd: target sent: 842 7fbd200000 1528c
 send_target_man-201   [000] ...1  3222.138587: send_zram_to_nbd: target sent: 839 7ffffff000 1528d
 send_target_man-201   [000] ...1  3222.140891: send_zram_to_nbd: target sent: 839 7fbe420000 1528e
 send_target_man-201   [000] ...1  3222.145647: send_zram_to_nbd: target sent: 839 555555f000 1528f
 send_target_man-201   [000] ...1  3222.149557: send_zram_to_nbd: target sent: 839 7fbd9b8000 15290
 send_target_man-201   [000] ...1  3222.151915: send_zram_to_nbd: target sent: 839 7fbf6ff000 15291
 send_target_man-201   [000] ...1  3222.154253: send_zram_to_nbd: target sent: 839 7fbd42b000 15292
 send_target_man-201   [000] ...1  3222.156424: send_zram_to_nbd: target sent: 839 7fbd409000 15293
 send_target_man-201   [000] ...1  3222.158753: send_zram_to_nbd: target sent: 839 7fbd42a000 15294
 send_target_man-201   [000] ...1  3222.160869: send_zram_to_nbd: target sent: 839 7fbd40a000 15295
 send_target_man-201   [000] ...1  3222.163090: send_zram_to_nbd: target sent: 839 7fbdad3000 15296
 send_target_man-201   [000] ...1  3222.165393: send_zram_to_nbd: target sent: 839 7fbdacf000 15297
 send_target_man-201   [000] ...1  3222.167579: send_zram_to_nbd: target sent: 839 7fbdad0000 15298
 send_target_man-201   [000] ...1  3222.169747: send_zram_to_nbd: target sent: 839 7fbd401000 15299
 send_target_man-201   [000] ...1  3222.171847: send_zram_to_nbd: target sent: 839 7fbd400000 1529a
 send_target_man-201   [000] ...1  3222.174141: send_zram_to_nbd: target sent: 839 7fbd430000 1529b
 send_target_man-201   [000] ...1  3222.176316: send_zram_to_nbd: target sent: 839 7fbf700000 1529c
 send_target_man-201   [000] ...1  3222.178395: send_zram_to_nbd: target sent: 839 7fbd1ea000 1529d
 send_target_man-201   [000] ...1  3222.180676: send_zram_to_nbd: target sent: 839 7fbd600000 1529e
 send_target_man-201   [003] d..2  3232.268052: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-201   [003] ...1  3232.287796: send_zram_to_nbd: target sent: 851 7fba806000 192e3
 send_target_man-201   [001] ...1  3232.290454: send_zram_to_nbd: target sent: 851 7fba807000 192e4
 send_target_man-201   [001] ...1  3232.293152: send_zram_to_nbd: target sent: 851 7fbe0ee000 21209
 send_target_man-201   [001] ...1  3232.295266: send_zram_to_nbd: target sent: 851 7fb8234000 2120a
 send_target_man-201   [001] ...1  3232.297485: send_zram_to_nbd: target sent: 851 7fb8203000 2120b
 send_target_man-201   [001] ...1  3232.299846: send_zram_to_nbd: target sent: 851 7fb8204000 2120c
 send_target_man-201   [001] ...1  3232.302588: send_zram_to_nbd: target sent: 851 7fb8229000 2120d
 send_target_man-201   [001] ...1  3232.304772: send_zram_to_nbd: target sent: 851 7fbdc4f000 2120e
