# tracer: nop
#
# entries-in-buffer/entries-written: 8039/8039   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-20717 [007] ....  4394.971655: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-200   [003] dn.2  4465.334589: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4475.359373: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4485.387553: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4495.414265: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4505.440964: send_target_manager: send target manager - id, which_table : 7, 0
 ogle.android.gm-4739  [000] ....  4509.826526: read_swap_cache_async: remote readpage 4739 "ogle.android.gm" 7f3982b000 3b9cf
 ogle.android.gm-4739  [000] ....  4509.826546: do_swap_page: prefetch fault 4739 "ogle.android.gm" 7f3982b000 3b9cf
 send_target_man-200   [003] d..2  4515.467590: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4525.494273: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4535.520901: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4545.547652: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4555.572912: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4565.599529: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4575.627560: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4585.654199: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4595.680886: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4605.706256: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [002] d..2  4615.733207: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [001] d..2  4625.759495: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [001] d..2  4635.787526: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [001] d..2  4645.812934: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [001] d..2  4655.839737: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [000] d..2  4665.866356: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [000] d..2  4675.892587: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [000] d..2  4685.920905: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [000] d..2  4695.947565: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [000] d..2  4705.973700: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [000] d..2  4716.000849: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4726.026231: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4736.054625: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4746.079236: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4756.105925: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4766.134211: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4776.160890: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4786.187621: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4796.214203: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] d..2  4806.240848: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [001] ...1  4806.257021: send_zram_to_nbd: target sent: 558 7fb5603000 439da
 send_target_man-200   [000] ...1  4806.259285: send_zram_to_nbd: target sent: 558 7fb56b1000 53900
 send_target_man-200   [003] ...1  4806.262129: send_zram_to_nbd: target sent: 558 7fb56f2000 3f9e6
 send_target_man-200   [003] d..2  4816.267613: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [003] ...1  4816.284610: send_zram_to_nbd: target sent: 607 7fb978e000 439db
 send_target_man-200   [003] ...1  4816.286990: send_zram_to_nbd: target sent: 607 7fbd011000 439dc
 send_target_man-200   [002] ...1  4816.289274: send_zram_to_nbd: target sent: 607 7fbd055000 439dd
 send_target_man-200   [000] ...1  4816.291596: send_zram_to_nbd: target sent: 607 7fbd034000 47997
 send_target_man-200   [000] ...1  4816.293827: send_zram_to_nbd: target sent: 605 7fbe1e0000 3f9e7
 send_target_man-200   [000] ...1  4816.296097: send_zram_to_nbd: target sent: 605 7fba6d3000 3f9e8
 send_target_man-200   [001] ...1  4816.298729: send_zram_to_nbd: target sent: 605 7fbe328000 3f9e9
 send_target_man-200   [001] ...1  4816.300984: send_zram_to_nbd: target sent: 605 7faa792000 53901
 send_target_man-200   [001] ...1  4816.303112: send_zram_to_nbd: target sent: 605 7fb923a000 53902
 send_target_man-200   [001] ...1  4816.305520: send_zram_to_nbd: target sent: 607 7fbd10e000 53903
 send_target_man-200   [001] ...1  4816.307582: send_zram_to_nbd: target sent: 605 7faa6c8000 53904
 send_target_man-200   [001] ...1  4816.309709: send_zram_to_nbd: target sent: 607 7fbd10f000 53905
 send_target_man-200   [001] ...1  4816.311693: send_zram_to_nbd: target sent: 605 7faa6c9000 53906
 send_target_man-200   [001] ...1  4816.313773: send_zram_to_nbd: target sent: 607 7fbd110000 53907
 send_target_man-200   [001] ...1  4816.315726: send_zram_to_nbd: target sent: 605 7fbe170000 53908
 send_target_man-200   [003] ...1  4816.318080: send_zram_to_nbd: target sent: 605 7fba706000 53909
 send_target_man-200   [003] ...1  4816.320092: send_zram_to_nbd: target sent: 605 7fba78b000 439de
 send_target_man-200   [003] ...1  4816.322248: send_zram_to_nbd: target sent: 605 7fffffd000 439df
 send_target_man-200   [003] ...1  4816.324953: send_zram_to_nbd: target sent: 605 7fbe1f8000 439e0
 send_target_man-200   [003] ...1  4816.327157: send_zram_to_nbd: target sent: 605 7fbe18c000 439e1
 send_target_man-200   [001] d..2  4826.506242: send_target_manager: send target manager - id, which_table : 7, 0
 send_target_man-200   [001] ...1  4826.523225: send_zram_to_nbd: target sent: 609 7fbd026000 5390a
 send_target_man-200   [001] ...1  4826.525932: send_zram_to_nbd: target sent: 609 7ffffff000 5390b
 send_target_man-200   [001] ...1  4826.528622: send_zram_to_nbd: target sent: 609 7fbe422000 5390c
 send_target_man-200   [002] ...1  4826.530943: send_zram_to_nbd: target sent: 609 7fbd021000 5390d
 send_target_man-200   [002] ...1  4826.533770: send_zram_to_nbd: target sent: 609 7fbd019000 47998
 send_target_man-200   [002] ...1  4826.536085: send_zram_to_nbd: target sent: 609 7fbf700000 47999
