id 8, table 0 || 144: 8962 e2093000
id 8, table 0 || 145: 8962 f7a92000
id 8, table 0 || 146: 8962 cbd40000
id 8, table 0 || 147: 8962 e2118000
id 8, table 0 || 148: 8962 f0dee000
id 8, table 0 || 149: 8962 6fd4e000
id 8, table 0 || 150: 8962 6fe6f000
id 8, table 0 || 151: 8962 beeb5000
id 8, table 0 || 152: 8962 e20ea000
id 8, table 0 || 153: 8962 f7a8c000
id 8, table 0 || 154: 8962 f52a9000
id 8, table 0 || 155: 8962 bf080000
id 8, table 0 || 156: 8962 cad04000
id 8, table 0 || 157: 8962 f52ae000
id 8, table 0 || 158: 8962 befba000
id 8, table 0 || 159: 8962 f52ab000
id 8, table 0 || 160: 8962 bf03a000
id 8, table 0 || 161: 8962 cad70000
id 8, table 0 || 162: 8962 cbe52000
id 8, table 0 || 163: 8962 c7bc2000
id 8, table 0 || 164: 8962 ca463000
id 8, table 0 || 165: 8962 f52b4000
id 8, table 0 || 166: 8962 f52ac000
id 8, table 0 || 167: 8962 e2129000
id 8, table 0 || 168: 8962 cbed8000
id 8, table 0 || 169: 8962 f68a5000
id 8, table 0 || 170: 8962 dd128000
id 8, table 0 || 171: 8962 e20fb000
id 8, table 0 || 172: 8962 bf03f000
id 8, table 0 || 173: 8962 bf04a000
id 8, table 0 || 174: 8962 bf04b000
id 8, table 0 || 175: 8962 c59e7000
id 8, table 0 || 176: 8962 bf03d000
id 8, table 0 || 177: 8962 cbe98000
id 8, table 0 || 178: 8962 bf031000
id 8, table 0 || 179: 8962 bf04c000
id 8, table 0 || 180: 8962 dd123000
id 8, table 0 || 181: 8962 c5a0b000
id 8, table 0 || 182: 2252 7f2dcf2000
id 8, table 0 || 183: 8962 c5894000
id 8, table 0 || 184: 8962 c581a000
id 8, table 0 || 185: 8962 c46ac000
id 8, table 0 || 186: 8962 befbd000
id 8, table 0 || 187: 8962 c57ad000
id 8, table 0 || 188: 8962 e209c000
id 8, table 0 || 189: 8962 f7b69000
id 8, table 0 || 190: 8962 f0e00000
id 8, table 0 || 191: 8962 cac42000
id 8, table 0 || 192: 8962 f7b7b000
id 8, table 0 || 193: 8962 f7b6a000
id 8, table 0 || 194: 8962 c5811000
id 8, table 0 || 195: 8962 bf07e000
id 8, table 0 || 196: 8962 c7cb7000
id 8, table 0 || 197: 8962 c5806000
id 8, table 0 || 198: 8962 c5893000
id 8, table 0 || 199: 8962 c5624000
id 8, table 0 || 200: 8962 ca466000
