[ 9796.514413] foreground_evict = 0
[ 9796.514417] background_evict = 0
[ 9796.514418] foreground_refault = 0
[ 9796.514419] background_refault = 0
[ 9796.514420] foreground_fault = 0
[ 9802.158289] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7b5000
[ 9802.158298] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7b6000
[ 9802.158309] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7b7000
[ 9802.158318] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7b8000
[ 9802.158331] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7b9000
[ 9802.158338] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7bb000
[ 9802.158349] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7bc000
[ 9802.158358] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7bd000
[ 9802.158368] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7be000
[ 9802.158383] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7bf000
[ 9802.158390] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c0000
[ 9802.158398] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c1000
[ 9802.158406] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c2000
[ 9802.158414] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c3000
[ 9802.158423] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c4000
[ 9802.158437] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c5000
[ 9802.158446] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c6000
[ 9802.158452] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c7000
[ 9802.158462] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7c9000
[ 9802.158470] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7ca000
[ 9802.158481] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7cb000
[ 9802.158492] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7cc000
[ 9802.158500] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7cd000
[ 9802.158507] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7ce000
[ 9802.158516] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7cf000
[ 9802.158524] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7a7d0000
