[ 7248.276635] foreground_evict = 0
[ 7248.276639] background_evict = 0
[ 7248.276641] foreground_refault = 0
[ 7248.276642] background_refault = 0
[ 7248.276643] foreground_fault = 0
[ 7248.276645] background_fault = 0
[ 7253.987372] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7215c000
[ 7253.987380] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7215d000
[ 7253.987410] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7215e000
[ 7253.987420] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7215f000
[ 7253.987428] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72160000
[ 7253.987436] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72161000
[ 7253.987446] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72162000
[ 7253.987455] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72163000
[ 7253.987463] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72164000
[ 7253.987480] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72165000
[ 7253.987489] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72166000
[ 7253.987497] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72167000
[ 7253.987508] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72168000
[ 7253.987517] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72169000
[ 7253.987526] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7216a000
[ 7253.987537] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7216b000
[ 7253.987545] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7216c000
[ 7253.987554] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7216d000
[ 7253.987562] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7216e000
[ 7253.987571] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7216f000
[ 7253.987580] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72170000
[ 7253.987595] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72171000
[ 7253.987603] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72172000
[ 7253.987610] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72173000
[ 7253.987618] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72174000
[ 7253.987625] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72175000
[ 7253.987633] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72176000
[ 7253.987648] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72177000
[ 7253.987656] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72178000
[ 7253.987664] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72179000
[ 7253.987673] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7217a000
[ 7253.987682] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7217b000
[ 7253.987689] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7217c000
[ 7253.987701] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7217d000
[ 7253.987712] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7217e000
[ 7253.987719] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7217f000
[ 7253.987728] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72180000
[ 7253.987736] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72181000
[ 7253.987743] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72182000
[ 7253.987753] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72183000
[ 7253.987762] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72184000
[ 7253.987767] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72185000
[ 7253.987776] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e72186000
[ 7253.988187] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7208a000
[ 7253.988209] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7208b000
[ 7253.988218] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7208c000
[ 7253.988224] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7208d000
[ 7253.988233] after: swapin tgid 15859 pid 16010 name "RenderThread" vma 7e7208e000
