# tracer: nop
#
# entries-in-buffer/entries-written: 8468/8468   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-5987  [005] d..4   660.537598: __free_cluster: [REMOTE __free_cluster] free cluster 975
 send_target_man-200   [003] ...1   682.851670: send_zram_to_nbd: target sent: 6475 7f28d90000 5434
 send_target_man-200   [003] ...1   682.853888: send_zram_to_nbd: target sent: 6475 7e3bd39000 5435
 send_target_man-200   [003] ...1   682.855771: send_zram_to_nbd: target sent: 6475 7ed126e000 5436
 send_target_man-200   [003] ...1   682.857660: send_zram_to_nbd: target sent: 6475 7ec73fd000 5437
 send_target_man-200   [003] .n.1   682.859573: send_zram_to_nbd: target sent: 6475 7f28a36000 5438
 send_target_man-200   [003] ...1   682.861579: send_zram_to_nbd: target sent: 6475 7f28d8e000 5439
 send_target_man-200   [002] ...1   682.863558: send_zram_to_nbd: target sent: 6475 7ed1a4a000 543a
 send_target_man-200   [002] ...1   682.865733: send_zram_to_nbd: target sent: 6475 7ed1a46000 543b
 send_target_man-200   [002] ...1   682.868080: send_zram_to_nbd: target sent: 6475 9d1a1000 543c
 send_target_man-200   [003] ...1   682.872263: send_zram_to_nbd: target sent: 6475 7eaf31f000 543d
 send_target_man-200   [003] ...1   682.874464: send_zram_to_nbd: target sent: 6475 7e9c51a000 543e
 send_target_man-200   [003] ...1   682.877732: send_zram_to_nbd: target sent: 6475 7e9c519000 543f
 send_target_man-200   [001] ...1   682.880146: send_zram_to_nbd: target sent: 6475 7eaf5cd000 5440
 send_target_man-200   [001] ...1   682.882260: send_zram_to_nbd: target sent: 6475 7ec6c37000 5441
 send_target_man-200   [001] ...1   682.884270: send_zram_to_nbd: target sent: 6475 7eaeb71000 5442
 send_target_man-200   [003] ...1   682.886310: send_zram_to_nbd: target sent: 6475 7eaf1ac000 5443
 send_target_man-200   [003] ...1   682.888403: send_zram_to_nbd: target sent: 6475 7e99957000 5444
 send_target_man-200   [003] ...1   682.890681: send_zram_to_nbd: target sent: 6475 7e999e4000 5445
 send_target_man-200   [003] ...1   682.893047: send_zram_to_nbd: target sent: 6475 7e9cb38000 5446
 send_target_man-200   [000] ...1   682.897100: send_zram_to_nbd: target sent: 6475 7e9cb39000 5447
 send_target_man-200   [000] ...1   682.899526: send_zram_to_nbd: target sent: 6475 7e9cb3a000 5448
 send_target_man-200   [003] ...1   682.901831: send_zram_to_nbd: target sent: 6475 7e9cb3b000 5449
 send_target_man-200   [003] ...1   682.903976: send_zram_to_nbd: target sent: 6475 7eaee76000 544a
 send_target_man-200   [001] ...1   682.906108: send_zram_to_nbd: target sent: 6475 7e9cb3c000 544b
 send_target_man-200   [000] ...1   682.908422: send_zram_to_nbd: target sent: 6475 7e9cb47000 544c
 send_target_man-200   [000] ...1   682.910468: send_zram_to_nbd: target sent: 6475 7e9cb48000 544d
 send_target_man-200   [002] ...1   682.912464: send_zram_to_nbd: target sent: 6475 7e9cb49000 544e
 send_target_man-200   [002] ...1   682.914339: send_zram_to_nbd: target sent: 6475 7e9c65f000 544f
 send_target_man-200   [002] ...1   682.916136: send_zram_to_nbd: target sent: 6475 7eb00ff000 5450
 send_target_man-200   [002] ...1   682.918050: send_zram_to_nbd: target sent: 6475 7ed1a81000 5451
 send_target_man-200   [002] ...1   682.920394: send_zram_to_nbd: target sent: 6475 7eaf293000 5452
