7121a000-7121b000 rw-p 00000000 00:00 0                                  [anon:.bss]
7121b000-7121c000 r--s 00000000 fd:00 1379                               /system/framework/boot-ims-common.vdex
7121c000-7121d000 r--p 00010000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
7121d000-7121e000 rw-p 00011000 fd:00 1358                               /system/framework/arm64/boot-ims-common.oat
7121e000-71220000 r--p 00000000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
71220000-71221000 r--s 00000000 fd:00 1373                               /system/framework/boot-android.test.base.vdex
71221000-71222000 r--p 00002000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
71222000-71223000 rw-p 00003000 fd:00 1340                               /system/framework/arm64/boot-android.test.base.oat
71223000-71392000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
71392000-71393000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
71393000-713ef000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
713ef000-74a24000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
74a24000-75223000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
75223000-95223000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
95223000-97223000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote-data-code-cache]
97223000-99223000 r--p 00000000 00:00 0                                  [anon:dalvik-zygote-jit-code-cache]
99223000-9b223000 rw-s 00000000 00:01 321858                             /memfd:/jit-cache (deleted)
9b223000-9d223000 r-xs 02000000 00:01 321858                             /memfd:/jit-cache (deleted)
9d223000-9dfac000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/com.instagram.android-p_21DYP_0UONTY0t-9iMjw==/oat/arm64/base.art]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
7f5c30000-7f61e0000 rw-s 0007e000 00:12 80                               /dev/kgsl-3d0
7f80b0000-7f8670000 rw-s 00098000 00:12 80                               /dev/kgsl-3d0
7f86f0000-7f8b20000 rw-s 0011a000 00:12 80                               /dev/kgsl-3d0
7f9c90000-7f9c91000 rw-s 00179000 00:12 80                               /dev/kgsl-3d0
7f9c91000-7f9c92000 rw-s 00178000 00:12 80                               /dev/kgsl-3d0
7f9c92000-7f9c93000 rw-s 00177000 00:12 80                               /dev/kgsl-3d0
7f9c93000-7f9c94000 rw-s 00176000 00:12 80                               /dev/kgsl-3d0
7f9c94000-7f9c95000 rw-s 00175000 00:12 80                               /dev/kgsl-3d0
7f9c95000-7f9c96000 rw-s 00174000 00:12 80                               /dev/kgsl-3d0
7f9c96000-7f9c97000 rw-s 00173000 00:12 80                               /dev/kgsl-3d0
7f9c97000-7f9c98000 rw-s 00172000 00:12 80                               /dev/kgsl-3d0
7f9c98000-7f9c99000 rw-s 00171000 00:12 80                               /dev/kgsl-3d0
7f9c99000-7f9c9a000 rw-s 00170000 00:12 80                               /dev/kgsl-3d0
7f9c9a000-7f9c9b000 rw-s 0016f000 00:12 80                               /dev/kgsl-3d0
7f9c9b000-7f9c9c000 rw-s 0016e000 00:12 80                               /dev/kgsl-3d0
7fa192000-7fa194000 rw-s 00141000 00:12 80                               /dev/kgsl-3d0
7fa84c000-7fa84d000 rw-s 0013d000 00:12 80                               /dev/kgsl-3d0
7fa84d000-7fa84e000 rw-s 0013c000 00:12 80                               /dev/kgsl-3d0
7fa84e000-7fa84f000 rw-s 0013b000 00:12 80                               /dev/kgsl-3d0
7fa84f000-7fa850000 rw-s 0013a000 00:12 80                               /dev/kgsl-3d0
7fb040000-7fb050000 rw-s 00133000 00:12 80                               /dev/kgsl-3d0
7fb4fb000-7fb4fc000 rw-s 00139000 00:12 80                               /dev/kgsl-3d0
7fb4fc000-7fb4fd000 rw-s 00138000 00:12 80                               /dev/kgsl-3d0
